| Reward: -11800 | Episode: 0 | Qmax: 23.604433228661705 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -10720 | Episode: 1 | Qmax: 45.0321115698065 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -10630 | Episode: 2 | Qmax: 50.255508739788375 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -12520 | Episode: 3 | Qmax: 40.2147563651756 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -10630 | Episode: 4 | Qmax: 28.510445171886975 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -10000 | Episode: 5 | Qmax: 17.440295574543356 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -11440 | Episode: 6 | Qmax: 7.985358229792631 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -12340 | Episode: 7 | Qmax: 2.1734594205045723 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -9667 | Episode: 8 | Qmax: -0.03134060544600418 | Exploration: 0.2 | Step: 999 | LR:0.001
| Reward: -8046 | Episode: 9 | Qmax: 10.085533988291855 | Exploration: 0.1984 | Step: 883 | LR:0.001
| Reward: -5860 | Episode: 10 | Qmax: 16.02106131955127 | Exploration: 0.1968128 | Step: 641 | LR:0.001
| Reward: -8821 | Episode: 11 | Qmax: 17.824498862356275 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11152 | Episode: 12 | Qmax: 20.073303166582985 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -8056 | Episode: 13 | Qmax: 20.86461215617659 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -9550 | Episode: 14 | Qmax: 24.5342781797305 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -7480 | Episode: 15 | Qmax: 26.66098443708859 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -9199 | Episode: 16 | Qmax: 29.229133428962857 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -10090 | Episode: 17 | Qmax: 32.141333622259424 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12970 | Episode: 18 | Qmax: 35.162405359613764 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12610 | Episode: 19 | Qmax: 37.138870510372435 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13240 | Episode: 20 | Qmax: 40.162574008181764 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13600 | Episode: 21 | Qmax: 43.850373937203 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13690 | Episode: 22 | Qmax: 49.68570638108659 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11980 | Episode: 23 | Qmax: 53.16390634943415 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13510 | Episode: 24 | Qmax: 59.50679396628379 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11611 | Episode: 25 | Qmax: 64.72114552529128 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13960 | Episode: 26 | Qmax: 69.23771251073933 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13510 | Episode: 27 | Qmax: 73.30947324582884 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12790 | Episode: 28 | Qmax: 75.33114912750962 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12250 | Episode: 29 | Qmax: 77.79509303853796 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11620 | Episode: 30 | Qmax: 80.82649495818832 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -14410 | Episode: 31 | Qmax: 82.44982418761 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13060 | Episode: 32 | Qmax: 83.5438342414222 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -14320 | Episode: 33 | Qmax: 84.68080049186378 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12970 | Episode: 34 | Qmax: 86.95560909486986 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12160 | Episode: 35 | Qmax: 86.84312618912399 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -14050 | Episode: 36 | Qmax: 88.82468303020771 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11620 | Episode: 37 | Qmax: 89.09811112973783 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -13240 | Episode: 38 | Qmax: 88.50294419404145 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -14050 | Episode: 39 | Qmax: 89.02907926828654 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11710 | Episode: 40 | Qmax: 92.1577809102781 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -12907 | Episode: 41 | Qmax: 91.48516464233398 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11431 | Episode: 42 | Qmax: 94.70053057914023 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11260 | Episode: 43 | Qmax: 95.54638049838779 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -11413 | Episode: 44 | Qmax: 97.16537694291429 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -10720 | Episode: 45 | Qmax: 98.1444966370637 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -8974 | Episode: 46 | Qmax: 97.10277217334216 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -9766 | Episode: 47 | Qmax: 97.31319870724454 | Exploration: 0.1968128 | Step: 999 | LR:0.001
| Reward: -8071 | Episode: 48 | Qmax: 98.5605437103135 | Exploration: 0.1952382976 | Step: 782 | LR:0.001
| Reward: -5374 | Episode: 49 | Qmax: 98.80394577187074 | Exploration: 0.193676391219 | Step: 902 | LR:0.001
| Reward: -7450 | Episode: 50 | Qmax: 98.12690852213343 | Exploration: 0.192126980089 | Step: 872 | LR:0.001
| Reward: -8947 | Episode: 51 | Qmax: 98.33724601604646 | Exploration: 0.190589964249 | Step: 866 | LR:0.001
| Reward: -5500 | Episode: 52 | Qmax: 97.80493634503644 | Exploration: 0.190589964249 | Step: 999 | LR:0.001
| Reward: -5713 | Episode: 53 | Qmax: 97.35218280986804 | Exploration: 0.189065244535 | Step: 647 | LR:0.001
| Reward: -8001 | Episode: 54 | Qmax: 97.70076856827201 | Exploration: 0.187552722578 | Step: 802 | LR:0.001
| Reward: -10486 | Episode: 55 | Qmax: 96.0414425197903 | Exploration: 0.187552722578 | Step: 999 | LR:0.001
| Reward: -6968 | Episode: 56 | Qmax: 96.04143077788098 | Exploration: 0.186052300798 | Step: 858 | LR:0.001
| Reward: -6174 | Episode: 57 | Qmax: 97.32395939008724 | Exploration: 0.184563882391 | Step: 676 | LR:0.001
| Reward: -3959 | Episode: 58 | Qmax: 95.7311313867206 | Exploration: 0.183087371332 | Step: 657 | LR:0.001
| Reward: -5986 | Episode: 59 | Qmax: 95.86546769013276 | Exploration: 0.183087371332 | Step: 999 | LR:0.001
| Reward: -8344 | Episode: 60 | Qmax: 95.00976342935343 | Exploration: 0.183087371332 | Step: 999 | LR:0.001
| Reward: -7354 | Episode: 61 | Qmax: 95.22928765252068 | Exploration: 0.183087371332 | Step: 999 | LR:0.001
| Reward: -7768 | Episode: 62 | Qmax: 94.7623306518799 | Exploration: 0.183087371332 | Step: 999 | LR:0.001
| Reward: -6397 | Episode: 63 | Qmax: 94.93782071017344 | Exploration: 0.181622672362 | Step: 872 | LR:0.001
| Reward: -8245 | Episode: 64 | Qmax: 94.83726637022154 | Exploration: 0.181622672362 | Step: 999 | LR:0.001
| Reward: -7120 | Episode: 65 | Qmax: 94.60526799535131 | Exploration: 0.181622672362 | Step: 999 | LR:0.001
| Reward: -10783 | Episode: 66 | Qmax: 94.28347500714216 | Exploration: 0.181622672362 | Step: 999 | LR:0.001
| Reward: -7372 | Episode: 67 | Qmax: 94.82047002905004 | Exploration: 0.181622672362 | Step: 999 | LR:0.001
| Reward: -8410 | Episode: 68 | Qmax: 94.67908072804296 | Exploration: 0.180169690983 | Step: 860 | LR:0.001
| Reward: -8704 | Episode: 69 | Qmax: 95.53724673464968 | Exploration: 0.180169690983 | Step: 999 | LR:0.001
| Reward: -5813 | Episode: 70 | Qmax: 96.71984742370962 | Exploration: 0.178728333455 | Step: 855 | LR:0.001
| Reward: -6658 | Episode: 71 | Qmax: 98.77928189332856 | Exploration: 0.177298506787 | Step: 881 | LR:0.001
| Reward: -8272 | Episode: 72 | Qmax: 99.55923487498119 | Exploration: 0.177298506787 | Step: 999 | LR:0.001
| Reward: -3178 | Episode: 73 | Qmax: 101.93820387988114 | Exploration: 0.175880118733 | Step: 587 | LR:0.001
| Reward: -6683 | Episode: 74 | Qmax: 101.83551973050778 | Exploration: 0.174473077783 | Step: 888 | LR:0.001
| Reward: -11350 | Episode: 75 | Qmax: 102.92836995167775 | Exploration: 0.174473077783 | Step: 999 | LR:0.001
| Reward: -9334 | Episode: 76 | Qmax: 102.5102727544439 | Exploration: 0.174473077783 | Step: 999 | LR:0.001
| Reward: -7435 | Episode: 77 | Qmax: 106.11856166927426 | Exploration: 0.174473077783 | Step: 999 | LR:0.001
| Reward: -10801 | Episode: 78 | Qmax: 105.9180345888491 | Exploration: 0.174473077783 | Step: 999 | LR:0.001
| Reward: -3774 | Episode: 79 | Qmax: 107.65349269557643 | Exploration: 0.173077293161 | Step: 481 | LR:0.001
