 | Episode: 0 | Train: 7.38048505783 | Gym: 892.594110966 | Batch: 4.56718397141 | Guide: 889.267728329
 | Episode: 1 | Train: 8.16286730766 | Gym: 1026.56145096 | Batch: 5.19747400284 | Guide: 1023.03987837
 | Episode: 2 | Train: 8.28996801376 | Gym: 1093.52169919 | Batch: 5.15329289436 | Guide: 1089.99813652
 | Episode: 3 | Train: 8.05648684502 | Gym: 1318.28702402 | Batch: 5.06751847267 | Guide: 1314.865242
 | Episode: 4 | Train: 8.02754712105 | Gym: 1280.70572853 | Batch: 5.02728199959 | Guide: 1277.21837687
 | Episode: 5 | Train: 8.00247716904 | Gym: 1033.55808139 | Batch: 5.15056276321 | Guide: 1030.01934791
 | Episode: 6 | Train: 8.22421693802 | Gym: 920.896411657 | Batch: 5.11312031746 | Guide: 917.480456829
 | Episode: 7 | Train: 7.88122415543 | Gym: 877.864505053 | Batch: 5.10363650322 | Guide: 874.419187069
 | Episode: 8 | Train: 8.00649619102 | Gym: 954.486281633 | Batch: 5.01863026619 | Guide: 950.845940828
 | Episode: 9 | Train: 7.05399680138 | Gym: 974.030749321 | Batch: 4.61809873581 | Guide: 970.960154057
 | Episode: 10 | Train: 5.22021555901 | Gym: 788.008480072 | Batch: 3.26087594032 | Guide: 785.780364752
 | Episode: 11 | Train: 7.87646842003 | Gym: 1145.4850018 | Batch: 5.03741335869 | Guide: 1142.1128161
 | Episode: 12 | Train: 8.00287699699 | Gym: 776.736236095 | Batch: 5.06932330132 | Guide: 773.290727139
 | Episode: 13 | Train: 7.80114102364 | Gym: 856.429272175 | Batch: 5.06112504005 | Guide: 853.063546658
 | Episode: 14 | Train: 7.86298131943 | Gym: 996.898000002 | Batch: 5.16944742203 | Guide: 993.478712082
 | Episode: 15 | Train: 7.91609549522 | Gym: 1103.59301138 | Batch: 5.20999526978 | Guide: 1100.20206189
 | Episode: 16 | Train: 8.14737939835 | Gym: 943.329076767 | Batch: 4.94714355469 | Guide: 939.845751762
 | Episode: 17 | Train: 7.68400716782 | Gym: 747.880036354 | Batch: 4.89462900162 | Guide: 744.412318468
 | Episode: 18 | Train: 7.7733297348 | Gym: 876.119346619 | Batch: 4.99585413933 | Guide: 872.612614155
 | Episode: 19 | Train: 7.89396739006 | Gym: 1114.39639139 | Batch: 5.29056620598 | Guide: 1110.89143729
 | Episode: 20 | Train: 8.11684465408 | Gym: 917.37616539 | Batch: 5.1008515358 | Guide: 913.846348763
 | Episode: 21 | Train: 7.97326827049 | Gym: 1157.32828856 | Batch: 5.04630970955 | Guide: 1153.82894087
 | Episode: 22 | Train: 8.16088080406 | Gym: 1145.97092271 | Batch: 5.31695985794 | Guide: 1142.53584623
 | Episode: 23 | Train: 8.21479272842 | Gym: 1247.28725481 | Batch: 5.13001513481 | Guide: 1243.81726384
 | Episode: 24 | Train: 7.92008638382 | Gym: 1032.58865213 | Batch: 4.95267820358 | Guide: 1029.1932385
 | Episode: 25 | Train: 7.8594212532 | Gym: 1043.51869607 | Batch: 5.01067304611 | Guide: 1040.26357865
 | Episode: 26 | Train: 7.67558813095 | Gym: 1049.43147302 | Batch: 4.89875817299 | Guide: 1046.0129478
 | Episode: 27 | Train: 7.47996258736 | Gym: 1022.87121153 | Batch: 5.09929227829 | Guide: 1019.61030245
 | Episode: 28 | Train: 7.53795671463 | Gym: 1152.45641017 | Batch: 5.17334008217 | Guide: 1149.19739151
 | Episode: 29 | Train: 7.41445875168 | Gym: 957.279641867 | Batch: 4.93918967247 | Guide: 953.861500978
 | Episode: 30 | Train: 7.54334211349 | Gym: 1119.18152642 | Batch: 5.25367903709 | Guide: 1115.88068867
 | Episode: 31 | Train: 7.46787953377 | Gym: 1086.0933063 | Batch: 5.36038255692 | Guide: 1082.66113567
 | Episode: 32 | Train: 7.37270951271 | Gym: 982.221294641 | Batch: 5.05497717857 | Guide: 978.997800827
 | Episode: 33 | Train: 7.48676753044 | Gym: 1008.87854934 | Batch: 5.31295681 | Guide: 1005.54228544
 | Episode: 34 | Train: 7.61534547806 | Gym: 1156.74575257 | Batch: 5.18090796471 | Guide: 1153.58933592
 | Episode: 35 | Train: 7.34378170967 | Gym: 974.847379208 | Batch: 5.00709867477 | Guide: 971.583674669
 | Episode: 36 | Train: 7.32571005821 | Gym: 1104.60745072 | Batch: 5.14093589783 | Guide: 1101.44591856
 | Episode: 37 | Train: 7.39447426796 | Gym: 1106.87929296 | Batch: 5.35434055328 | Guide: 1103.6765306
 | Episode: 38 | Train: 7.50751757622 | Gym: 986.141726732 | Batch: 5.11538290977 | Guide: 982.725367308
 | Episode: 39 | Train: 7.45160865784 | Gym: 1040.81673861 | Batch: 5.33314228058 | Guide: 1037.5777514
 | Episode: 40 | Train: 7.6105401516 | Gym: 1127.19000125 | Batch: 5.27933692932 | Guide: 1123.9011817
 | Episode: 41 | Train: 7.26351213455 | Gym: 1036.22809625 | Batch: 5.21589636803 | Guide: 1032.98090267
 | Episode: 42 | Train: 7.41304278374 | Gym: 799.216167688 | Batch: 5.04865884781 | Guide: 795.920652151
 | Episode: 43 | Train: 7.40892958641 | Gym: 1076.64686823 | Batch: 4.8570022583 | Guide: 1073.30777144
 | Episode: 44 | Train: 7.41866064072 | Gym: 785.791761875 | Batch: 5.12714982033 | Guide: 782.525196791
 | Episode: 45 | Train: 7.3690264225 | Gym: 886.188007355 | Batch: 4.84420609474 | Guide: 882.89746213
 | Episode: 46 | Train: 7.64567780495 | Gym: 874.471516371 | Batch: 5.42068576813 | Guide: 871.081511259
 | Episode: 47 | Train: 7.51533865929 | Gym: 999.958169699 | Batch: 4.87303185463 | Guide: 996.679574966
 | Episode: 48 | Train: 5.82529997826 | Gym: 741.60330224 | Batch: 4.30245304108 | Guide: 738.917106867
 | Episode: 49 | Train: 6.68620443344 | Gym: 999.0143857 | Batch: 4.66688919067 | Guide: 996.008176804
 | Episode: 50 | Train: 6.28739213943 | Gym: 812.283935785 | Batch: 4.53833317757 | Guide: 809.485434771
 | Episode: 51 | Train: 6.33116889 | Gym: 645.920272589 | Batch: 4.59124302864 | Guide: 643.039745569
 | Episode: 52 | Train: 7.37291145325 | Gym: 817.984075308 | Batch: 5.08202886581 | Guide: 814.621315241
 | Episode: 53 | Train: 4.79737210274 | Gym: 717.498380184 | Batch: 3.35819363594 | Guide: 715.265731573
 | Episode: 54 | Train: 5.97162604332 | Gym: 927.965712547 | Batch: 4.10530519485 | Guide: 925.34389329
 | Episode: 55 | Train: 7.29421305656 | Gym: 865.774047375 | Batch: 5.07253718376 | Guide: 862.332309961
 | Episode: 56 | Train: 6.34561395645 | Gym: 941.670374155 | Batch: 4.50408792496 | Guide: 938.809336662
 | Episode: 57 | Train: 4.85433197021 | Gym: 685.15642333 | Batch: 3.52164196968 | Guide: 682.858775616
 | Episode: 58 | Train: 4.8475625515 | Gym: 487.467574358 | Batch: 3.32127785683 | Guide: 485.196418047
 | Episode: 59 | Train: 7.27385783195 | Gym: 982.15516901 | Batch: 5.30297613144 | Guide: 978.730067492
 | Episode: 60 | Train: 7.35808634758 | Gym: 909.157725811 | Batch: 5.11967420578 | Guide: 905.750797033
 | Episode: 61 | Train: 7.49433255196 | Gym: 1096.05202413 | Batch: 4.98451256752 | Guide: 1092.69708681
 | Episode: 62 | Train: 7.28583621979 | Gym: 978.410658598 | Batch: 5.27401447296 | Guide: 974.941770077
 | Episode: 63 | Train: 6.35707759857 | Gym: 896.039880276 | Batch: 4.48659873009 | Guide: 893.101518154
 | Episode: 64 | Train: 7.28133153915 | Gym: 799.762008667 | Batch: 5.23791694641 | Guide: 796.434304476
 | Episode: 65 | Train: 7.1850540638 | Gym: 953.644910812 | Batch: 4.98226761818 | Guide: 950.275970459
 | Episode: 66 | Train: 7.26572394371 | Gym: 1015.72217941 | Batch: 5.12578296661 | Guide: 1012.37506771
 | Episode: 67 | Train: 7.38738846779 | Gym: 923.756545067 | Batch: 5.39273643494 | Guide: 920.261205673
 | Episode: 68 | Train: 6.3466656208 | Gym: 886.058198452 | Batch: 4.59731030464 | Guide: 883.255427837
 | Episode: 69 | Train: 7.25348258018 | Gym: 1020.83929229 | Batch: 4.96976518631 | Guide: 1017.41739964
 | Episode: 70 | Train: 6.8594558239 | Gym: 931.30535841 | Batch: 4.47192287445 | Guide: 928.109946966
 | Episode: 71 | Train: 6.81904816628 | Gym: 851.936944723 | Batch: 4.50254797935 | Guide: 848.765739918
 | Episode: 72 | Train: 7.52932071686 | Gym: 740.898547888 | Batch: 5.31661820412 | Guide: 737.31411314
 | Episode: 73 | Train: 4.47680306435 | Gym: 603.234080791 | Batch: 3.22961211205 | Guide: 601.298256636
 | Episode: 74 | Train: 6.78215026855 | Gym: 810.375743151 | Batch: 4.75412464142 | Guide: 807.250240088
 | Episode: 75 | Train: 7.53545999527 | Gym: 1097.81297922 | Batch: 5.16881418228 | Guide: 1094.36280727
 | Episode: 76 | Train: 7.503282547 | Gym: 928.728912592 | Batch: 5.0898194313 | Guide: 925.292672634
 | Episode: 77 | Train: 7.60965704918 | Gym: 875.071278334 | Batch: 5.50675773621 | Guide: 871.575889111
 | Episode: 78 | Train: 7.440980196 | Gym: 1032.2023809 | Batch: 5.05002737045 | Guide: 1028.80501127
 | Episode: 79 | Train: 3.53372573853 | Gym: 442.012336493 | Batch: 2.3679432869 | Guide: 440.449801445
