| Reward: -5662 | Episode: 0 | Qmax: 15.105972603159147 | Exploration: 0.1984 | Step: 533 | LR:1e-04
| Reward: -8022 | Episode: 1 | Qmax: 13.593147295411281 | Exploration: 0.1968128 | Step: 868 | LR:1e-04
| Reward: -11890 | Episode: 2 | Qmax: 3.862806226153011 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12250 | Episode: 3 | Qmax: -2.8373746246666283 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -13960 | Episode: 4 | Qmax: -5.865899771899432 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12700 | Episode: 5 | Qmax: -7.37480476961748 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11440 | Episode: 6 | Qmax: -10.176166480770698 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11890 | Episode: 7 | Qmax: -12.41079690610921 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11890 | Episode: 8 | Qmax: -16.220189214468718 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11080 | Episode: 9 | Qmax: -19.403539076343073 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11530 | Episode: 10 | Qmax: -21.979455103983987 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -10990 | Episode: 11 | Qmax: -25.215442903287656 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12610 | Episode: 12 | Qmax: -28.192738847092944 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12160 | Episode: 13 | Qmax: -30.742523905989884 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11440 | Episode: 14 | Qmax: -36.37132101851302 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11530 | Episode: 15 | Qmax: -40.04904554842471 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11440 | Episode: 16 | Qmax: -43.551642319580935 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11440 | Episode: 17 | Qmax: -48.12667177293871 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11980 | Episode: 18 | Qmax: -50.980554139649904 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11620 | Episode: 19 | Qmax: -54.5856018486443 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11980 | Episode: 20 | Qmax: -59.99442084105284 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -10900 | Episode: 21 | Qmax: -64.4686511844486 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12520 | Episode: 22 | Qmax: -68.20603634907796 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12160 | Episode: 23 | Qmax: -73.1685808428057 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11800 | Episode: 24 | Qmax: -77.5503611292567 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11044 | Episode: 25 | Qmax: -80.52669325438109 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -12700 | Episode: 26 | Qmax: -77.42885705300638 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -11890 | Episode: 27 | Qmax: -81.52914007910499 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
| Reward: -9748 | Episode: 28 | Qmax: -82.88464874786897 | Exploration: 0.1968128 | Step: 999 | LR:1e-04
