 | Episode: 0 | Train: 3.71765637398 | Gym: 660.672250271 | Batch: 2.28508067131 | Guide: 658.801292658
 | Episode: 1 | Train: 7.2047188282 | Gym: 1086.78050017 | Batch: 4.48493885994 | Guide: 1083.79958081
 | Episode: 2 | Train: 8.22209954262 | Gym: 1322.94887733 | Batch: 5.30088186264 | Guide: 1319.4855864
 | Episode: 3 | Train: 8.09461641312 | Gym: 932.261096478 | Batch: 5.00249624252 | Guide: 928.828662872
 | Episode: 4 | Train: 7.97864460945 | Gym: 1070.80846572 | Batch: 5.06018352509 | Guide: 1067.20711565
 | Episode: 5 | Train: 8.04633021355 | Gym: 1145.59935546 | Batch: 5.18064951897 | Guide: 1142.03429723
 | Episode: 6 | Train: 7.97449731827 | Gym: 1283.01845241 | Batch: 5.10051703453 | Guide: 1279.6232965
 | Episode: 7 | Train: 8.0183403492 | Gym: 972.906473637 | Batch: 5.19538283348 | Guide: 969.376936436
 | Episode: 8 | Train: 8.02275276184 | Gym: 1191.30646253 | Batch: 4.88027238846 | Guide: 1187.94853473
 | Episode: 9 | Train: 8.01804184914 | Gym: 926.98889637 | Batch: 5.07569265366 | Guide: 923.602621794
 | Episode: 10 | Train: 8.06542110443 | Gym: 1241.86931038 | Batch: 5.01190757751 | Guide: 1238.46677136
 | Episode: 11 | Train: 7.8817949295 | Gym: 1178.63224673 | Batch: 4.94331288338 | Guide: 1175.21437716
 | Episode: 12 | Train: 7.86295557022 | Gym: 1027.58487582 | Batch: 4.90247178078 | Guide: 1023.97511101
 | Episode: 13 | Train: 8.13414096832 | Gym: 1069.41458297 | Batch: 5.12664461136 | Guide: 1066.02059841
 | Episode: 14 | Train: 7.91234087944 | Gym: 1265.02452993 | Batch: 4.93940901756 | Guide: 1261.66476512
 | Episode: 15 | Train: 7.82168936729 | Gym: 1007.12258196 | Batch: 5.18330764771 | Guide: 1003.78596616
 | Episode: 16 | Train: 7.8036210537 | Gym: 1038.61031389 | Batch: 4.92866921425 | Guide: 1035.13778281
 | Episode: 17 | Train: 7.69729542732 | Gym: 946.401798725 | Batch: 5.03932905197 | Guide: 943.019233227
 | Episode: 18 | Train: 8.0151078701 | Gym: 897.040464878 | Batch: 5.18842172623 | Guide: 893.586997032
 | Episode: 19 | Train: 8.02099275589 | Gym: 1058.54214048 | Batch: 5.19012022018 | Guide: 1055.09628177
