| Reward: -4514 | Episode: 0 | Qmax: 18.33332055523282 | Exploration: 0.1984 | Step: 294 | LR:0.0015
| Reward: -2368 | Episode: 1 | Qmax: 50.244488657974614 | Exploration: 0.1968128 | Step: 164 | LR:0.0015
| Reward: -3140 | Episode: 2 | Qmax: 71.39087613423665 | Exploration: 0.1952382976 | Step: 216 | LR:0.0015
| Reward: -4630 | Episode: 3 | Qmax: 80.29995268794119 | Exploration: 0.193676391219 | Step: 311 | LR:0.0015
| Reward: -4364 | Episode: 4 | Qmax: 91.43262282362929 | Exploration: 0.192126980089 | Step: 333 | LR:0.0015
| Reward: -3911 | Episode: 5 | Qmax: 103.33804348865188 | Exploration: 0.190589964249 | Step: 249 | LR:0.0015
| Reward: -2362 | Episode: 6 | Qmax: 110.70608344700025 | Exploration: 0.189065244535 | Step: 230 | LR:0.0015
| Reward: -4515 | Episode: 7 | Qmax: 116.69910661564317 | Exploration: 0.187552722578 | Step: 430 | LR:0.0015
| Reward: -2600 | Episode: 8 | Qmax: 121.25172967621775 | Exploration: 0.186052300798 | Step: 198 | LR:0.0015
| Reward: -4606 | Episode: 9 | Qmax: 120.86207319507548 | Exploration: 0.184563882391 | Step: 377 | LR:0.0015
| Reward: -2436 | Episode: 10 | Qmax: 125.50619658790683 | Exploration: 0.183087371332 | Step: 241 | LR:0.0015
| Reward: -2824 | Episode: 11 | Qmax: 125.81369389046868 | Exploration: 0.181622672362 | Step: 278 | LR:0.0015
| Reward: -2344 | Episode: 12 | Qmax: 127.96125675345066 | Exploration: 0.180169690983 | Step: 239 | LR:0.0015
| Reward: -2775 | Episode: 13 | Qmax: 127.50192598196176 | Exploration: 0.178728333455 | Step: 364 | LR:0.0015
| Reward: -3973 | Episode: 14 | Qmax: 132.48737802352497 | Exploration: 0.177298506787 | Step: 374 | LR:0.0015
| Reward: -3202 | Episode: 15 | Qmax: 134.67906125209458 | Exploration: 0.175880118733 | Step: 359 | LR:0.0015
| Reward: -3864 | Episode: 16 | Qmax: 136.10103498889555 | Exploration: 0.174473077783 | Step: 310 | LR:0.0015
| Reward: -2785 | Episode: 17 | Qmax: 137.28134062982375 | Exploration: 0.173077293161 | Step: 248 | LR:0.0015
| Reward: -3889 | Episode: 18 | Qmax: 140.41642819454796 | Exploration: 0.171692674816 | Step: 380 | LR:0.0015
| Reward: -4248 | Episode: 19 | Qmax: 142.78252542654334 | Exploration: 0.170319133417 | Step: 469 | LR:0.0015
| Reward: -3528 | Episode: 20 | Qmax: 144.7300080161058 | Exploration: 0.16895658035 | Step: 262 | LR:0.0015
| Reward: -3036 | Episode: 21 | Qmax: 144.52938716015473 | Exploration: 0.167604927707 | Step: 319 | LR:0.0015
| Reward: -4402 | Episode: 22 | Qmax: 146.9580144302621 | Exploration: 0.166264088285 | Step: 362 | LR:0.0015
| Reward: -2754 | Episode: 23 | Qmax: 148.51468099289687 | Exploration: 0.164933975579 | Step: 307 | LR:0.0015
| Reward: -3327 | Episode: 24 | Qmax: 148.6066316711116 | Exploration: 0.163614503774 | Step: 394 | LR:0.0015
| Reward: -5743 | Episode: 25 | Qmax: 148.55801311776912 | Exploration: 0.162305587744 | Step: 497 | LR:0.0015
| Reward: -4503 | Episode: 26 | Qmax: 149.9435641414039 | Exploration: 0.161007143042 | Step: 373 | LR:0.0015
| Reward: -3648 | Episode: 27 | Qmax: 150.63501831914337 | Exploration: 0.159719085898 | Step: 355 | LR:0.0015
| Reward: -5016 | Episode: 28 | Qmax: 150.33569318289435 | Exploration: 0.158441333211 | Step: 562 | LR:0.0015
