| Reward: -13510 | Episode: 0 | Qmax: -0.3637432370034678 | Exploration: 0.2 | Step: 999 | LR:0.0005
| Reward: -12790 | Episode: 1 | Qmax: -15.672861345537433 | Exploration: 0.2 | Step: 999 | LR:0.0005
| Reward: -7885 | Episode: 2 | Qmax: -28.11935710620594 | Exploration: 0.2 | Step: 999 | LR:0.0005
| Reward: -12727 | Episode: 3 | Qmax: -33.0771167762764 | Exploration: 0.2 | Step: 999 | LR:0.0005
| Reward: -10630 | Episode: 4 | Qmax: -35.58439457142079 | Exploration: 0.2 | Step: 999 | LR:0.0005
| Reward: -7759 | Episode: 5 | Qmax: -34.602954570476236 | Exploration: 0.2 | Step: 999 | LR:0.0005
| Reward: -5023 | Episode: 6 | Qmax: -32.48787085328783 | Exploration: 0.1984 | Step: 560 | LR:0.0005
| Reward: -9442 | Episode: 7 | Qmax: -30.23094566352852 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11917 | Episode: 8 | Qmax: -26.63578751996473 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11980 | Episode: 9 | Qmax: -23.26068446347425 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -13060 | Episode: 10 | Qmax: -19.80048801324091 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -13510 | Episode: 11 | Qmax: -15.482031094302815 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -12844 | Episode: 12 | Qmax: -12.219881872321153 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -13330 | Episode: 13 | Qmax: -9.354783000814187 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -13420 | Episode: 14 | Qmax: -4.676685441237827 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -12340 | Episode: 15 | Qmax: -1.2280010833191473 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -12880 | Episode: 16 | Qmax: 1.6990876831049033 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11179 | Episode: 17 | Qmax: 4.472038551677229 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 18 | Qmax: 10.074045587666669 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11440 | Episode: 19 | Qmax: 13.791446586405193 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -12880 | Episode: 20 | Qmax: 16.715360571373928 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -12340 | Episode: 21 | Qmax: 20.04147946930493 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10450 | Episode: 22 | Qmax: 23.421724763379114 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11170 | Episode: 23 | Qmax: 24.78943212293051 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11170 | Episode: 24 | Qmax: 26.298702345279096 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 25 | Qmax: 27.604633457324766 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10630 | Episode: 26 | Qmax: 29.37474708657365 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10090 | Episode: 27 | Qmax: 31.058813707860143 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10540 | Episode: 28 | Qmax: 31.093960376696902 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10360 | Episode: 29 | Qmax: 31.7282927932145 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11260 | Episode: 30 | Qmax: 32.37180657620664 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10090 | Episode: 31 | Qmax: 34.25012318087412 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10270 | Episode: 32 | Qmax: 35.96589692445608 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10270 | Episode: 33 | Qmax: 36.59720114454836 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11170 | Episode: 34 | Qmax: 39.04477549313817 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11260 | Episode: 35 | Qmax: 40.54729059884498 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10990 | Episode: 36 | Qmax: 38.91154562660285 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10522 | Episode: 37 | Qmax: 41.70678158979248 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11350 | Episode: 38 | Qmax: 43.81499686167464 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10450 | Episode: 39 | Qmax: 43.00537139827943 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10099 | Episode: 40 | Qmax: 45.12856753382299 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -8092 | Episode: 41 | Qmax: 48.5800196201176 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10810 | Episode: 42 | Qmax: 51.69235558606483 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -12700 | Episode: 43 | Qmax: 51.70214085225706 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10081 | Episode: 44 | Qmax: 53.039604262188746 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10072 | Episode: 45 | Qmax: 56.042821093245195 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11350 | Episode: 46 | Qmax: 55.48920820019505 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -9406 | Episode: 47 | Qmax: 56.95115323061938 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10918 | Episode: 48 | Qmax: 56.92073380839717 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 49 | Qmax: 58.44991961852447 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11836 | Episode: 50 | Qmax: 58.363021774215625 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -11710 | Episode: 51 | Qmax: 58.58770344240052 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -8821 | Episode: 52 | Qmax: 58.1220084037986 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -8911 | Episode: 53 | Qmax: 61.34204598685523 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10360 | Episode: 54 | Qmax: 63.42237106720368 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 55 | Qmax: 64.81083200681019 | Exploration: 0.1984 | Step: 999 | LR:0.0005
| Reward: -9112 | Episode: 56 | Qmax: 64.66633963421971 | Exploration: 0.1968128 | Step: 878 | LR:0.0005
| Reward: -10432 | Episode: 57 | Qmax: 66.58867505744651 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9298 | Episode: 58 | Qmax: 66.37980870942812 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10720 | Episode: 59 | Qmax: 68.85727509381893 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -6373 | Episode: 60 | Qmax: 70.36375430491832 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11647 | Episode: 61 | Qmax: 72.32785263887277 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10648 | Episode: 62 | Qmax: 72.33240100356552 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10612 | Episode: 63 | Qmax: 73.83511230489752 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8830 | Episode: 64 | Qmax: 73.90781711744475 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10540 | Episode: 65 | Qmax: 75.2685512329365 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8974 | Episode: 66 | Qmax: 76.37426976780515 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10225 | Episode: 67 | Qmax: 77.78363377840311 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11620 | Episode: 68 | Qmax: 78.70468289596779 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11440 | Episode: 69 | Qmax: 79.7765151824321 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10873 | Episode: 70 | Qmax: 80.14652743276294 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9622 | Episode: 71 | Qmax: 81.69625697354297 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10585 | Episode: 72 | Qmax: 82.89177329070098 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10918 | Episode: 73 | Qmax: 83.33488308655488 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -7948 | Episode: 74 | Qmax: 84.86831105149186 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -9010 | Episode: 75 | Qmax: 86.43283026545375 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10810 | Episode: 76 | Qmax: 87.66859165274047 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11710 | Episode: 77 | Qmax: 88.36013602828598 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 78 | Qmax: 88.93850012990208 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -7192 | Episode: 79 | Qmax: 90.95532101506109 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -6787 | Episode: 80 | Qmax: 91.44583795450113 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11701 | Episode: 81 | Qmax: 93.0268737356942 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 82 | Qmax: 93.9790247715152 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -7507 | Episode: 83 | Qmax: 95.04301240661361 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -8452 | Episode: 84 | Qmax: 96.18324166327506 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
| Reward: -11800 | Episode: 85 | Qmax: 96.86665369810405 | Exploration: 0.1968128 | Step: 999 | LR:0.0005
