| Reward: -14320 | Episode: 0 | Qmax: 42.24683212553774 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10450 | Episode: 1 | Qmax: 67.61398106175022 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10450 | Episode: 2 | Qmax: 53.05694779022797 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10360 | Episode: 3 | Qmax: 38.999668247348914 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13240 | Episode: 4 | Qmax: 27.637398723606115 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11260 | Episode: 5 | Qmax: 16.375239320703454 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10720 | Episode: 6 | Qmax: 6.403862138596681 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10810 | Episode: 7 | Qmax: -2.429848893359117 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12160 | Episode: 8 | Qmax: -11.052977741048023 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10810 | Episode: 9 | Qmax: -20.06653011406029 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11710 | Episode: 10 | Qmax: -28.591135089939183 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12610 | Episode: 11 | Qmax: -36.83849196677451 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12790 | Episode: 12 | Qmax: -44.494193379704775 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11620 | Episode: 13 | Qmax: -52.7061420131374 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10990 | Episode: 14 | Qmax: -60.59431816078163 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12970 | Episode: 15 | Qmax: -67.55055245217142 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11530 | Episode: 16 | Qmax: -75.41814535253637 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11710 | Episode: 17 | Qmax: -82.61833584225094 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11620 | Episode: 18 | Qmax: -90.32884357593677 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12520 | Episode: 19 | Qmax: -97.35172658926015 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -13510 | Episode: 20 | Qmax: -104.3449237888401 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12790 | Episode: 21 | Qmax: -111.04542546086125 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11980 | Episode: 22 | Qmax: -118.8911488010838 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11530 | Episode: 23 | Qmax: -126.5365601426011 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11440 | Episode: 24 | Qmax: -134.13153564941896 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12430 | Episode: 25 | Qmax: -141.43966761866847 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11890 | Episode: 26 | Qmax: -148.412738238727 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11170 | Episode: 27 | Qmax: -155.7404689846096 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11710 | Episode: 28 | Qmax: -163.14490563256126 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12250 | Episode: 29 | Qmax: -170.83430561909566 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11440 | Episode: 30 | Qmax: -178.43286013674808 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12250 | Episode: 31 | Qmax: -186.1932775671179 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10450 | Episode: 32 | Qmax: -193.89009164498972 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10630 | Episode: 33 | Qmax: -201.42969257098895 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12610 | Episode: 34 | Qmax: -209.10569104871473 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11530 | Episode: 35 | Qmax: -216.68610531002193 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12610 | Episode: 36 | Qmax: -223.94868823596545 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11800 | Episode: 37 | Qmax: -231.1682171062664 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12070 | Episode: 38 | Qmax: -238.57263047654587 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12160 | Episode: 39 | Qmax: -245.753549356241 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10648 | Episode: 40 | Qmax: -253.0617677461397 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12340 | Episode: 41 | Qmax: -260.0004487672487 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12241 | Episode: 42 | Qmax: -267.1635951289424 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12700 | Episode: 43 | Qmax: -274.0548477554703 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11890 | Episode: 44 | Qmax: -281.00145451848334 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12250 | Episode: 45 | Qmax: -287.4118642873831 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11440 | Episode: 46 | Qmax: -294.08853234948816 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11620 | Episode: 47 | Qmax: -300.3376086657947 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11080 | Episode: 48 | Qmax: -306.460860304885 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11485 | Episode: 49 | Qmax: -311.34022841200573 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12610 | Episode: 50 | Qmax: -312.48530103589917 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11980 | Episode: 51 | Qmax: -317.2791854354354 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10810 | Episode: 52 | Qmax: -317.6592954343504 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11800 | Episode: 53 | Qmax: -318.5465366184055 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -12340 | Episode: 54 | Qmax: -322.4361772661333 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11800 | Episode: 55 | Qmax: -326.23371164743844 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11260 | Episode: 56 | Qmax: -329.7396398473669 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11440 | Episode: 57 | Qmax: -330.27141949077986 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10900 | Episode: 58 | Qmax: -333.3444836896222 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11080 | Episode: 59 | Qmax: -333.36984862364807 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10990 | Episode: 60 | Qmax: -339.29197946420544 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -10540 | Episode: 61 | Qmax: -339.0709327491554 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11440 | Episode: 62 | Qmax: -343.17492229778605 | Exploration: 0.7 | Step: 999 | LR:0.0015
| Reward: -11620 | Episode: 63 | Qmax: -346.6198407880537 | Exploration: 0.7 | Step: 999 | LR:0.0015
