| Reward: -8690 | Episode: 0 | Qmax: 96.40848758368789 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -12020 | Episode: 1 | Qmax: 136.92844418390004 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -9500 | Episode: 2 | Qmax: 149.49165659199258 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7340 | Episode: 3 | Qmax: 190.0656415981377 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -5720 | Episode: 4 | Qmax: 250.4978815051979 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7160 | Episode: 5 | Qmax: 309.7243270109555 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 6 | Qmax: 376.55315067390643 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -5990 | Episode: 7 | Qmax: 467.3638686675108 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -5540 | Episode: 8 | Qmax: 571.5126156854725 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6440 | Episode: 9 | Qmax: 640.9480049576692 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6530 | Episode: 10 | Qmax: 715.0728702277602 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 11 | Qmax: 796.0288569081522 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6170 | Episode: 12 | Qmax: 870.5506913485174 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7610 | Episode: 13 | Qmax: 965.395193585413 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7340 | Episode: 14 | Qmax: 1071.5866538986174 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7880 | Episode: 15 | Qmax: 1189.029653912317 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7430 | Episode: 16 | Qmax: 1322.269503606823 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 17 | Qmax: 1428.4742001092027 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8870 | Episode: 18 | Qmax: 1555.5404346290236 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8690 | Episode: 19 | Qmax: 1654.2267036514436 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8060 | Episode: 20 | Qmax: 1768.2971851906939 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 21 | Qmax: 1872.7506362823303 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7160 | Episode: 22 | Qmax: 1964.4437260751972 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6620 | Episode: 23 | Qmax: 2062.843605423738 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8960 | Episode: 24 | Qmax: 2185.415150369098 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6710 | Episode: 25 | Qmax: 2327.674644210296 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7880 | Episode: 26 | Qmax: 2448.390834892441 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8060 | Episode: 27 | Qmax: 2586.765905345848 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7700 | Episode: 28 | Qmax: 2750.8654819404433 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7241 | Episode: 29 | Qmax: 2922.907837647952 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7160 | Episode: 30 | Qmax: 3043.048627039235 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -5315 | Episode: 31 | Qmax: 3024.98834485377 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8960 | Episode: 32 | Qmax: 3142.247061016564 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8780 | Episode: 33 | Qmax: 3317.638625884582 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -3470 | Episode: 34 | Qmax: 3473.90557090744 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8420 | Episode: 35 | Qmax: 3642.0455495952842 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6980 | Episode: 36 | Qmax: 3806.8908114079723 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8960 | Episode: 37 | Qmax: 3962.833419279966 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 38 | Qmax: 4130.529368306927 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6800 | Episode: 39 | Qmax: 4216.59024738931 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6296 | Episode: 40 | Qmax: 4371.5999963794775 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8600 | Episode: 41 | Qmax: 4417.77288708276 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -9230 | Episode: 42 | Qmax: 4530.497907925225 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8780 | Episode: 43 | Qmax: 4672.7674626596945 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 44 | Qmax: 4794.746917663452 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8330 | Episode: 45 | Qmax: 5113.816189997182 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -9320 | Episode: 46 | Qmax: 5162.071798871179 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6620 | Episode: 47 | Qmax: 5306.683128953219 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6710 | Episode: 48 | Qmax: 5410.620257115794 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6620 | Episode: 49 | Qmax: 5707.601228824838 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7421 | Episode: 50 | Qmax: 5866.7966773390535 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6440 | Episode: 51 | Qmax: 6170.792198655123 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7340 | Episode: 52 | Qmax: 6448.083366929171 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6890 | Episode: 53 | Qmax: 6598.715008141283 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6710 | Episode: 54 | Qmax: 6860.278459262275 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7250 | Episode: 55 | Qmax: 7376.981666457916 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7430 | Episode: 56 | Qmax: 7527.895170223259 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8150 | Episode: 57 | Qmax: 7963.47535207133 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8690 | Episode: 58 | Qmax: 8285.797146049912 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7700 | Episode: 59 | Qmax: 8688.731962949336 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7700 | Episode: 60 | Qmax: 9274.821619802104 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7070 | Episode: 61 | Qmax: 9503.989653134393 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6710 | Episode: 62 | Qmax: 9908.96061850263 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7880 | Episode: 63 | Qmax: 10408.150887712925 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8186 | Episode: 64 | Qmax: 11073.817844673722 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6350 | Episode: 65 | Qmax: 11201.502338661698 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8330 | Episode: 66 | Qmax: 11700.11865332227 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7160 | Episode: 67 | Qmax: 11955.955498888401 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8330 | Episode: 68 | Qmax: 12672.910363696143 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6350 | Episode: 69 | Qmax: 13367.505387728583 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6683 | Episode: 70 | Qmax: 13945.066220331288 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7529 | Episode: 71 | Qmax: 14538.277316351452 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7700 | Episode: 72 | Qmax: 15422.733738962299 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7610 | Episode: 73 | Qmax: 16031.878917992235 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -8600 | Episode: 74 | Qmax: 17138.33120146543 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7430 | Episode: 75 | Qmax: 17476.221973243362 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6080 | Episode: 76 | Qmax: 18218.229053810748 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -7340 | Episode: 77 | Qmax: 19097.572770541083 | Exploration: 0.7 | Step: 499 | LR:0.0015
| Reward: -6260 | Episode: 78 | Qmax: 20053.04806096568 | Exploration: 0.7 | Step: 499 | LR:0.0015
