| Reward: -10471 | Episode: 0 | Qmax: -4.152604488701204 | Exploration: 0.686 | Step: 905 | LR:0.0015
| Reward: -13780 | Episode: 1 | Qmax: -16.99253871276214 | Exploration: 0.686 | Step: 999 | LR:0.0015
| Reward: -12340 | Episode: 2 | Qmax: -22.256844649443757 | Exploration: 0.686 | Step: 999 | LR:0.0015
| Reward: -12880 | Episode: 3 | Qmax: -26.11824849752096 | Exploration: 0.686 | Step: 999 | LR:0.0015
| Reward: -11260 | Episode: 4 | Qmax: -27.95440037567933 | Exploration: 0.686 | Step: 999 | LR:0.0015
| Reward: -8677 | Episode: 5 | Qmax: -29.68047921634904 | Exploration: 0.67228 | Step: 947 | LR:0.0015
| Reward: -14230 | Episode: 6 | Qmax: -30.283856716480578 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -13780 | Episode: 7 | Qmax: -30.961753427087366 | Exploration: 0.67228 | Step: 999 | LR:0.0015
| Reward: -8388 | Episode: 8 | Qmax: -32.24359536105639 | Exploration: 0.6588344 | Step: 730 | LR:0.0015
| Reward: -11197 | Episode: 9 | Qmax: -32.59456867164558 | Exploration: 0.6588344 | Step: 999 | LR:0.0015
| Reward: -6945 | Episode: 10 | Qmax: -31.87035651615688 | Exploration: 0.645657712 | Step: 700 | LR:0.0015
| Reward: -11368 | Episode: 11 | Qmax: -30.123941986768454 | Exploration: 0.645657712 | Step: 999 | LR:0.0015
| Reward: -4792 | Episode: 12 | Qmax: -29.269818161344418 | Exploration: 0.63274455776 | Step: 428 | LR:0.0015
| Reward: -10565 | Episode: 13 | Qmax: -28.27389971321484 | Exploration: 0.620089666605 | Step: 954 | LR:0.0015
| Reward: -13240 | Episode: 14 | Qmax: -27.659601925371646 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -16120 | Episode: 15 | Qmax: -25.49536422876505 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -13339 | Episode: 16 | Qmax: -23.63030117851597 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -15490 | Episode: 17 | Qmax: -18.648816522087778 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -12880 | Episode: 18 | Qmax: -17.69749693565063 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -13420 | Episode: 19 | Qmax: -14.01597809806481 | Exploration: 0.620089666605 | Step: 999 | LR:0.0015
| Reward: -12275 | Episode: 20 | Qmax: -10.787447524248005 | Exploration: 0.607687873273 | Step: 828 | LR:0.0015
| Reward: -14500 | Episode: 21 | Qmax: -9.414139929938841 | Exploration: 0.607687873273 | Step: 999 | LR:0.0015
| Reward: -11170 | Episode: 22 | Qmax: -7.297344426891726 | Exploration: 0.595534115807 | Step: 920 | LR:0.0015
| Reward: -13186 | Episode: 23 | Qmax: -5.440305012272665 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -15040 | Episode: 24 | Qmax: -2.333404135899628 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -15220 | Episode: 25 | Qmax: -0.6218637747775616 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -15130 | Episode: 26 | Qmax: 0.8215667854172287 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -14860 | Episode: 27 | Qmax: 2.2933823185860067 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -14050 | Episode: 28 | Qmax: 5.87990365426305 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -14320 | Episode: 29 | Qmax: 7.932784956968478 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -17020 | Episode: 30 | Qmax: 9.143262666132715 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -14590 | Episode: 31 | Qmax: 10.85738369225859 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -11341 | Episode: 32 | Qmax: 12.08461864085288 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -12313 | Episode: 33 | Qmax: 13.40060709737562 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -14050 | Episode: 34 | Qmax: 14.038536922530726 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -11674 | Episode: 35 | Qmax: 14.620948882432314 | Exploration: 0.595534115807 | Step: 999 | LR:0.0015
| Reward: -4495 | Episode: 36 | Qmax: 15.618471724422355 | Exploration: 0.583623433491 | Step: 608 | LR:0.0015
| Reward: -7795 | Episode: 37 | Qmax: 15.987528110290313 | Exploration: 0.583623433491 | Step: 999 | LR:0.0015
| Reward: -9253 | Episode: 38 | Qmax: 16.14642191649199 | Exploration: 0.583623433491 | Step: 999 | LR:0.0015
| Reward: -5617 | Episode: 39 | Qmax: 17.348508320063026 | Exploration: 0.571950964821 | Step: 641 | LR:0.0015
| Reward: -2401 | Episode: 40 | Qmax: 16.964548458630524 | Exploration: 0.560511945525 | Step: 395 | LR:0.0015
| Reward: -9307 | Episode: 41 | Qmax: 17.214394724046862 | Exploration: 0.560511945525 | Step: 999 | LR:0.0015
| Reward: -6040 | Episode: 42 | Qmax: 17.999424964935333 | Exploration: 0.560511945525 | Step: 999 | LR:0.0015
| Reward: -10153 | Episode: 43 | Qmax: 19.007720013638515 | Exploration: 0.560511945525 | Step: 999 | LR:0.0015
| Reward: -5529 | Episode: 44 | Qmax: 19.26901389319321 | Exploration: 0.549301706614 | Step: 580 | LR:0.0015
| Reward: -7372 | Episode: 45 | Qmax: 19.688845599139178 | Exploration: 0.549301706614 | Step: 999 | LR:0.0015
