| Reward: -3530 | Episode: 0 | Qmax: -1.0383754139344896 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 1 | Qmax: -4.35439190073828 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 2 | Qmax: -4.535883957201301 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 3 | Qmax: -0.1217671580467579 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 4 | Qmax: -5.940904595912551 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 5 | Qmax: -10.241421008828896 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3440 | Episode: 6 | Qmax: -13.007039343292389 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3620 | Episode: 7 | Qmax: -14.594870931539104 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 8 | Qmax: -14.320981404290128 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 9 | Qmax: -3.3268368198073017 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 10 | Qmax: 10.407516894103894 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 11 | Qmax: 11.15476999944778 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 12 | Qmax: 3.960156560093913 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 13 | Qmax: -1.0384597874166976 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 14 | Qmax: 0.7469829386802175 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3440 | Episode: 15 | Qmax: 0.1544259540998756 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 16 | Qmax: 2.917142935134658 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 17 | Qmax: -2.211283988090017 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 18 | Qmax: -3.429532813067412 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4340 | Episode: 19 | Qmax: -2.3925117655615113 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 20 | Qmax: -3.5337223060167013 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4250 | Episode: 21 | Qmax: -5.127123470581956 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3890 | Episode: 22 | Qmax: -7.526728975039032 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 23 | Qmax: -7.155066756934077 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3710 | Episode: 24 | Qmax: -10.614589800487211 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4160 | Episode: 25 | Qmax: -16.18794616502733 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 26 | Qmax: -17.14664974883573 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 27 | Qmax: -17.96240460093896 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 28 | Qmax: -19.572793946194288 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 29 | Qmax: -20.822614478106473 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3980 | Episode: 30 | Qmax: -22.97029243162529 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 31 | Qmax: -24.84537872237776 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 32 | Qmax: -26.43320028985565 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3980 | Episode: 33 | Qmax: -28.972953690955386 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 34 | Qmax: -30.717102395829244 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 35 | Qmax: -31.717346363930247 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4430 | Episode: 36 | Qmax: -34.04432054260867 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4160 | Episode: 37 | Qmax: -33.857173948431736 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3980 | Episode: 38 | Qmax: -36.51876740958822 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3890 | Episode: 39 | Qmax: -38.12661733579396 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3800 | Episode: 40 | Qmax: -40.07884491388522 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4070 | Episode: 41 | Qmax: -42.02059631731043 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3620 | Episode: 42 | Qmax: -43.49290659918857 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -5150 | Episode: 43 | Qmax: -44.68500890683888 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 44 | Qmax: -46.63543630245343 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4250 | Episode: 45 | Qmax: -48.079795703217016 | Exploration: 0.2 | Step: 199 | LR:0.0015
