| Reward: -2630 | Episode: 0 | Qmax: 0.18810963495891897 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 1 | Qmax: -2.0612374322498264 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 2 | Qmax: -3.752947091232592 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 3 | Qmax: 4.332197404986051 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 4 | Qmax: 44.438247988871 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -686 | Episode: 5 | Qmax: 38.24962888830271 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2045 | Episode: 6 | Qmax: 38.29524761947555 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 7 | Qmax: 22.383870481845722 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 8 | Qmax: 29.932733032571612 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 9 | Qmax: 29.897947159843827 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 10 | Qmax: 32.00006334026854 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 11 | Qmax: 36.42080125617022 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 12 | Qmax: 37.475762793766194 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4070 | Episode: 13 | Qmax: 39.550344573193456 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 14 | Qmax: 41.094716665732804 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 15 | Qmax: 41.726507667920096 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 16 | Qmax: 45.007216017899204 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 17 | Qmax: 44.6706457087143 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 18 | Qmax: 47.55598837212103 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3890 | Episode: 19 | Qmax: 52.752646697675765 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3800 | Episode: 20 | Qmax: 61.808257960194915 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3800 | Episode: 21 | Qmax: 60.392291659086794 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 22 | Qmax: 68.77417579967172 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 23 | Qmax: 66.32287515677399 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -5150 | Episode: 24 | Qmax: 70.89546057072717 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 25 | Qmax: 72.52942090298063 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 26 | Qmax: 76.3303082213929 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 27 | Qmax: 74.24748188556738 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3440 | Episode: 28 | Qmax: 79.32688341548095 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 29 | Qmax: 88.1574258003103 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -1514 | Episode: 30 | Qmax: 98.52099044718335 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3980 | Episode: 31 | Qmax: 109.64425263332961 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 32 | Qmax: 110.89071148663909 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -965 | Episode: 33 | Qmax: 112.00836580722176 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4160 | Episode: 34 | Qmax: 114.83680943628052 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2423 | Episode: 35 | Qmax: 113.6787996675501 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3170 | Episode: 36 | Qmax: 116.0505220039406 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 37 | Qmax: 113.72795635970992 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 38 | Qmax: 111.25457950512967 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 39 | Qmax: 111.31676937467489 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3350 | Episode: 40 | Qmax: 113.07078981639152 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3710 | Episode: 41 | Qmax: 111.46689747565955 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 42 | Qmax: 108.80654172561876 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -1361 | Episode: 43 | Qmax: 110.36071879420449 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4790 | Episode: 44 | Qmax: 109.31812004707567 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3683 | Episode: 45 | Qmax: 109.99243733211978 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 46 | Qmax: 109.38887808909968 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4160 | Episode: 47 | Qmax: 110.76753614416074 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4124 | Episode: 48 | Qmax: 110.51917597037463 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3800 | Episode: 49 | Qmax: 109.27239853173644 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -515 | Episode: 50 | Qmax: 110.63478005231924 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4106 | Episode: 51 | Qmax: 110.01831940310684 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -4610 | Episode: 52 | Qmax: 109.62503611502336 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2702 | Episode: 53 | Qmax: 109.41740662847931 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -1721 | Episode: 54 | Qmax: 109.18123078466061 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -3980 | Episode: 55 | Qmax: 107.8577953810668 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2036 | Episode: 56 | Qmax: 108.17734297555894 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -1073 | Episode: 57 | Qmax: 107.91853765746457 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -821 | Episode: 58 | Qmax: 108.84390090098933 | Exploration: 0.2 | Step: 199 | LR:0.0015
| Reward: -2549 | Episode: 59 | Qmax: 108.61091046357275 | Exploration: 0.2 | Step: 199 | LR:0.0015
