 | Episode: 0 | Train: 0.729501724243 | Gym: 12.9049847126 | Batch: 0.365120887756 | Guide: 12.5752813816
 | Episode: 1 | Train: 0.817924261093 | Gym: 12.8958582878 | Batch: 0.50829410553 | Guide: 12.7655038834
 | Episode: 2 | Train: 0.809804677963 | Gym: 12.0681424141 | Batch: 0.507034301758 | Guide: 11.9379355907
 | Episode: 3 | Train: 0.83594751358 | Gym: 15.4363074303 | Batch: 0.539558887482 | Guide: 15.3279547691
 | Episode: 4 | Train: 0.808135032654 | Gym: 14.6176495552 | Batch: 0.527046918869 | Guide: 14.4942975044
 | Episode: 5 | Train: 0.80849981308 | Gym: 14.5845556259 | Batch: 0.532048463821 | Guide: 14.4790728092
 | Episode: 6 | Train: 0.808357954025 | Gym: 14.9907953739 | Batch: 0.535320520401 | Guide: 14.8807630539
 | Episode: 7 | Train: 0.805024147034 | Gym: 13.7320656776 | Batch: 0.526003360748 | Guide: 13.6151065826
 | Episode: 8 | Train: 0.801979064941 | Gym: 13.0670878887 | Batch: 0.510386705399 | Guide: 12.9416103363
 | Episode: 9 | Train: 0.803762435913 | Gym: 11.7821278572 | Batch: 0.515910148621 | Guide: 11.6648664474
 | Episode: 10 | Train: 0.807309627533 | Gym: 13.5613021851 | Batch: 0.528875112534 | Guide: 13.4514553547
 | Episode: 11 | Train: 0.815092325211 | Gym: 12.8001201153 | Batch: 0.532439231873 | Guide: 12.6809024811
 | Episode: 12 | Train: 0.813371419907 | Gym: 15.4449191093 | Batch: 0.54007267952 | Guide: 15.3240032196
 | Episode: 13 | Train: 0.805949449539 | Gym: 15.1578469276 | Batch: 0.532085180283 | Guide: 15.04702878
 | Episode: 14 | Train: 0.818897724152 | Gym: 15.6382608414 | Batch: 0.537890672684 | Guide: 15.5230231285
 | Episode: 15 | Train: 0.833959341049 | Gym: 14.6737756729 | Batch: 0.544716358185 | Guide: 14.559273243
 | Episode: 16 | Train: 0.811635971069 | Gym: 13.4462771416 | Batch: 0.535717487335 | Guide: 13.3266508579
 | Episode: 17 | Train: 0.807220697403 | Gym: 12.4047167301 | Batch: 0.531501531601 | Guide: 12.2753295898
 | Episode: 18 | Train: 0.820176362991 | Gym: 12.7855899334 | Batch: 0.520679473877 | Guide: 12.6572933197
 | Episode: 19 | Train: 0.803378582001 | Gym: 11.835514307 | Batch: 0.524023294449 | Guide: 11.7095000744
 | Episode: 20 | Train: 0.888345956802 | Gym: 14.7742390633 | Batch: 0.532093524933 | Guide: 14.6456494331
 | Episode: 21 | Train: 0.809894561768 | Gym: 11.3291835785 | Batch: 0.524821281433 | Guide: 11.1889812946
 | Episode: 22 | Train: 0.824537038803 | Gym: 13.2879669666 | Batch: 0.534553050995 | Guide: 13.1745102406
 | Episode: 23 | Train: 0.800138473511 | Gym: 12.6593892574 | Batch: 0.521866083145 | Guide: 12.5210046768
 | Episode: 24 | Train: 0.813431024551 | Gym: 15.5071024895 | Batch: 0.540907382965 | Guide: 15.4094014168
 | Episode: 25 | Train: 0.801546573639 | Gym: 15.2901132107 | Batch: 0.547588825226 | Guide: 15.1796154976
 | Episode: 26 | Train: 0.809301376343 | Gym: 14.0144300461 | Batch: 0.533737897873 | Guide: 13.8909397125
 | Episode: 27 | Train: 0.832117319107 | Gym: 13.7209620476 | Batch: 0.556271076202 | Guide: 13.5951244831
 | Episode: 28 | Train: 0.812995910645 | Gym: 14.7276883125 | Batch: 0.539828538895 | Guide: 14.6143229008
 | Episode: 29 | Train: 0.80997800827 | Gym: 14.110979557 | Batch: 0.539959192276 | Guide: 14.0062811375
 | Episode: 30 | Train: 0.805061578751 | Gym: 12.9616196156 | Batch: 0.529851436615 | Guide: 12.8487458229
 | Episode: 31 | Train: 0.809937238693 | Gym: 13.8680644035 | Batch: 0.541234016418 | Guide: 13.7639122009
 | Episode: 32 | Train: 0.820151329041 | Gym: 13.73640728 | Batch: 0.533858776093 | Guide: 13.6320037842
 | Episode: 33 | Train: 0.816711902618 | Gym: 14.2071490288 | Batch: 0.543611526489 | Guide: 14.0776746273
