 | Episode: 0 | Train: 0 | Gym: 2.73728322983 | Batch: 0.00426745414734 | Guide: 2.54886221886
 | Episode: 1 | Train: 0 | Gym: 0.644969463348 | Batch: 0.000606775283813 | Guide: 0.637588024139
 | Episode: 2 | Train: 0.144369840622 | Gym: 0.502034187317 | Batch: 0.0472469329834 | Guide: 0.496510744095
 | Episode: 3 | Train: 0.0975844860077 | Gym: 1.26856207848 | Batch: 0.0571088790894 | Guide: 1.25323462486
 | Episode: 4 | Train: 0.0727849006653 | Gym: 0.840264320374 | Batch: 0.0433888435364 | Guide: 0.828073263168
 | Episode: 5 | Train: 0.0920705795288 | Gym: 1.28488731384 | Batch: 0.0542492866516 | Guide: 1.27012991905
 | Episode: 6 | Train: 0.145984649658 | Gym: 1.08049845695 | Batch: 0.0820410251617 | Guide: 1.03880643845
 | Episode: 7 | Train: 0.0930714607239 | Gym: 0.85033416748 | Batch: 0.0552177429199 | Guide: 0.824695110321
 | Episode: 8 | Train: 0.0790755748749 | Gym: 1.02927350998 | Batch: 0.0466389656067 | Guide: 1.00971579552
 | Episode: 9 | Train: 0.710857868195 | Gym: 6.35300183296 | Batch: 0.409639596939 | Guide: 6.18712997437
 | Episode: 10 | Train: 0.132570028305 | Gym: 1.97849082947 | Batch: 0.0789933204651 | Guide: 1.95245718956
 | Episode: 11 | Train: 0.165795326233 | Gym: 1.22139000893 | Batch: 0.098596572876 | Guide: 1.17706131935
 | Episode: 12 | Train: 0.102972984314 | Gym: 0.924045324326 | Batch: 0.0632925033569 | Guide: 0.903411149979
 | Episode: 13 | Train: 0.257898330688 | Gym: 3.02111911774 | Batch: 0.154454946518 | Guide: 2.96629452705
 | Episode: 14 | Train: 0.194816112518 | Gym: 2.18782734871 | Batch: 0.116132736206 | Guide: 2.13765835762
 | Episode: 15 | Train: 0.157277107239 | Gym: 1.29296588898 | Batch: 0.0905978679657 | Guide: 1.25485134125
 | Episode: 16 | Train: 0.101495981216 | Gym: 0.710786104202 | Batch: 0.0604858398438 | Guide: 0.682925701141
 | Episode: 17 | Train: 0.164688825607 | Gym: 1.32189440727 | Batch: 0.0989680290222 | Guide: 1.27486848831
 | Episode: 18 | Train: 0.108533620834 | Gym: 1.0728931427 | Batch: 0.066659450531 | Guide: 1.05131697655
 | Episode: 19 | Train: 0.241448163986 | Gym: 2.52522206306 | Batch: 0.149445533752 | Guide: 2.46196961403
 | Episode: 20 | Train: 0.233162403107 | Gym: 1.37010622025 | Batch: 0.0884466171265 | Guide: 1.32824349403
 | Episode: 21 | Train: 0.238238334656 | Gym: 2.43031287193 | Batch: 0.142027616501 | Guide: 2.35951447487
 | Episode: 22 | Train: 0.123598575592 | Gym: 1.11313676834 | Batch: 0.07448554039 | Guide: 1.0804913044
 | Episode: 23 | Train: 0.0873618125916 | Gym: 1.06700277328 | Batch: 0.0530467033386 | Guide: 1.04610395432
 | Episode: 24 | Train: 0.178074359894 | Gym: 1.20951724052 | Batch: 0.107582092285 | Guide: 1.1532561779
 | Episode: 25 | Train: 0.0742726325989 | Gym: 0.763321638107 | Batch: 0.0444393157959 | Guide: 0.7477414608
 | Episode: 26 | Train: 0.11572098732 | Gym: 0.928731441498 | Batch: 0.0682590007782 | Guide: 0.892853975296
 | Episode: 27 | Train: 0.0649418830872 | Gym: 0.624118566513 | Batch: 0.0402603149414 | Guide: 0.605548381805
 | Episode: 28 | Train: 0.119577884674 | Gym: 0.715861558914 | Batch: 0.0686762332916 | Guide: 0.684625864029
 | Episode: 29 | Train: 0.0566077232361 | Gym: 0.785778999329 | Batch: 0.0359466075897 | Guide: 0.77440237999
 | Episode: 30 | Train: 0.201186656952 | Gym: 1.52254080772 | Batch: 0.119290113449 | Guide: 1.46149039268
 | Episode: 31 | Train: 0.0850250720978 | Gym: 0.785807847977 | Batch: 0.0518445968628 | Guide: 0.75923871994
 | Episode: 32 | Train: 0.0753035545349 | Gym: 0.633095026016 | Batch: 0.0474374294281 | Guide: 0.612445116043
 | Episode: 33 | Train: 0.763312578201 | Gym: 5.92160081863 | Batch: 0.462329864502 | Guide: 5.68499875069
 | Episode: 34 | Train: 0.313553571701 | Gym: 2.88475990295 | Batch: 0.19150018692 | Guide: 2.79703783989
 | Episode: 35 | Train: 0.0954494476318 | Gym: 0.719015359879 | Batch: 0.0538067817688 | Guide: 0.686808109283
 | Episode: 36 | Train: 0.330318450928 | Gym: 1.82147073746 | Batch: 0.19170498848 | Guide: 1.7090086937
 | Episode: 37 | Train: 0.689542531967 | Gym: 6.16478729248 | Batch: 0.41263127327 | Guide: 5.96358633041
 | Episode: 38 | Train: 0.0834853649139 | Gym: 1.27269291878 | Batch: 0.0510582923889 | Guide: 1.25262331963
 | Episode: 39 | Train: 0.394562244415 | Gym: 2.80570077896 | Batch: 0.237469673157 | Guide: 2.6873061657
 | Episode: 40 | Train: 0.262925386429 | Gym: 1.09850001335 | Batch: 0.109522342682 | Guide: 1.03307414055
 | Episode: 41 | Train: 0.868868112564 | Gym: 6.1567697525 | Batch: 0.52068567276 | Guide: 5.8719959259
 | Episode: 42 | Train: 0.379600286484 | Gym: 2.09069991112 | Batch: 0.223858118057 | Guide: 1.96550798416
 | Episode: 43 | Train: 0.441677570343 | Gym: 2.44364142418 | Batch: 0.264847517014 | Guide: 2.30095458031
 | Episode: 44 | Train: 0.282867670059 | Gym: 2.05587601662 | Batch: 0.170113563538 | Guide: 1.95840573311
 | Episode: 45 | Train: 0.218302726746 | Gym: 1.07857608795 | Batch: 0.128216981888 | Guide: 1.00097608566
 | Episode: 46 | Train: 0.789536714554 | Gym: 5.63990974426 | Batch: 0.472951889038 | Guide: 5.38772511482
 | Episode: 47 | Train: 0.409958362579 | Gym: 2.47357201576 | Batch: 0.241402626038 | Guide: 2.3372490406
 | Episode: 48 | Train: 0.748148441315 | Gym: 5.6064453125 | Batch: 0.432363986969 | Guide: 5.35445737839
 | Episode: 49 | Train: 0.257088184357 | Gym: 1.40199160576 | Batch: 0.154034376144 | Guide: 1.30694842339
 | Episode: 50 | Train: 0.55521774292 | Gym: 1.83165431023 | Batch: 0.329928159714 | Guide: 1.61660408974
 | Episode: 51 | Train: 0.778870344162 | Gym: 4.28898000717 | Batch: 0.468710660934 | Guide: 4.00601029396
 | Episode: 52 | Train: 0.819807767868 | Gym: 5.04061102867 | Batch: 0.505890607834 | Guide: 4.74467515945
 | Episode: 53 | Train: 0.820235967636 | Gym: 3.485704422 | Batch: 0.484206914902 | Guide: 3.17872929573
 | Episode: 54 | Train: 0.822952508926 | Gym: 3.19914603233 | Batch: 0.492738962173 | Guide: 2.88188028336
 | Episode: 55 | Train: 0.819459199905 | Gym: 4.07903385162 | Batch: 0.488844156265 | Guide: 3.78626012802
 | Episode: 56 | Train: 0.821227312088 | Gym: 3.92728114128 | Batch: 0.506108760834 | Guide: 3.6225540638
 | Episode: 57 | Train: 0.820227146149 | Gym: 2.99810481071 | Batch: 0.483440637589 | Guide: 2.68847417831
 | Episode: 58 | Train: 0.834085226059 | Gym: 3.31237387657 | Batch: 0.485702037811 | Guide: 2.98880529404
 | Episode: 59 | Train: 0.832785367966 | Gym: 2.89380311966 | Batch: 0.486475229263 | Guide: 2.57977819443
 | Episode: 60 | Train: 0.88642001152 | Gym: 3.50385427475 | Batch: 0.48698425293 | Guide: 3.18879771233
 | Episode: 61 | Train: 0.483290195465 | Gym: 2.94470238686 | Batch: 0.27187037468 | Guide: 2.78789997101
 | Episode: 62 | Train: 0.803786277771 | Gym: 3.92668008804 | Batch: 0.479094028473 | Guide: 3.63439655304
 | Episode: 63 | Train: 0.805585384369 | Gym: 4.48552036285 | Batch: 0.469258069992 | Guide: 4.21068811417
