 | Episode: 0 | Train: 1.94581890106 | Gym: 142.792409897 | Batch: 1.14935326576 | Guide: 142.072213888
 | Episode: 1 | Train: 2.06562376022 | Gym: 133.386875868 | Batch: 1.29495215416 | Guide: 132.780164003
 | Episode: 2 | Train: 2.05704641342 | Gym: 138.816577911 | Batch: 1.34184932709 | Guide: 138.246988773
 | Episode: 3 | Train: 2.05785346031 | Gym: 159.168270111 | Batch: 1.36115670204 | Guide: 158.67302084
 | Episode: 4 | Train: 2.03513097763 | Gym: 138.106669426 | Batch: 1.28585648537 | Guide: 137.533423901
 | Episode: 5 | Train: 2.00746226311 | Gym: 144.781064749 | Batch: 1.2454366684 | Guide: 144.244830847
 | Episode: 6 | Train: 2.02122092247 | Gym: 148.263118744 | Batch: 1.28676724434 | Guide: 147.767235041
 | Episode: 7 | Train: 2.02117156982 | Gym: 114.242830753 | Batch: 1.25720047951 | Guide: 113.615528584
 | Episode: 8 | Train: 2.0200343132 | Gym: 133.893586397 | Batch: 1.26459264755 | Guide: 133.337712288
 | Episode: 9 | Train: 2.01589107513 | Gym: 123.189558983 | Batch: 1.28122067451 | Guide: 122.589849949
 | Episode: 10 | Train: 2.00454378128 | Gym: 133.084852695 | Batch: 1.25894355774 | Guide: 132.522034168
 | Episode: 11 | Train: 2.02614736557 | Gym: 130.540235043 | Batch: 1.29455685616 | Guide: 129.968651533
 | Episode: 12 | Train: 2.04975438118 | Gym: 142.838797092 | Batch: 1.29156947136 | Guide: 142.287233591
 | Episode: 13 | Train: 2.0314514637 | Gym: 141.448483467 | Batch: 1.27775120735 | Guide: 140.862154007
 | Episode: 14 | Train: 2.03162646294 | Gym: 146.534484386 | Batch: 1.29126358032 | Guide: 145.98238492
 | Episode: 15 | Train: 2.02308535576 | Gym: 128.780205727 | Batch: 1.28614497185 | Guide: 128.199091911
 | Episode: 16 | Train: 2.02704048157 | Gym: 129.186930656 | Batch: 1.29093265533 | Guide: 128.626132488
 | Episode: 17 | Train: 2.03675293922 | Gym: 138.949527264 | Batch: 1.27982020378 | Guide: 138.367732048
 | Episode: 18 | Train: 2.02912688255 | Gym: 133.488291264 | Batch: 1.28429412842 | Guide: 132.927325964
 | Episode: 19 | Train: 2.01163625717 | Gym: 138.549273729 | Batch: 1.26890158653 | Guide: 137.988852024
