| Reward: -470 | Episode: 0 | Qmax: 0.0 | Exploration: 0.196 | Step: 39 | LR:0.0015
| Reward: -760 | Episode: 1 | Qmax: 14.155840695914575 | Exploration: 0.19208 | Step: 59 | LR:0.0015
| Reward: -680 | Episode: 2 | Qmax: 24.30233180884159 | Exploration: 0.1882384 | Step: 33 | LR:0.0015
| Reward: -1570 | Episode: 3 | Qmax: 27.104515851554225 | Exploration: 0.184473632 | Step: 59 | LR:0.0015
| Reward: -1300 | Episode: 4 | Qmax: 49.101274812376346 | Exploration: 0.18078415936 | Step: 77 | LR:0.0015
| Reward: -480 | Episode: 5 | Qmax: 66.44999510242093 | Exploration: 0.177168476173 | Step: 31 | LR:0.0015
| Reward: -2420 | Episode: 6 | Qmax: 80.53850679316072 | Exploration: 0.173625106649 | Step: 117 | LR:0.0015
| Reward: -290 | Episode: 7 | Qmax: 96.1023001352946 | Exploration: 0.170152604516 | Step: 30 | LR:0.0015
| Reward: -1260 | Episode: 8 | Qmax: 85.85014061078634 | Exploration: 0.166749552426 | Step: 73 | LR:0.0015
| Reward: -640 | Episode: 9 | Qmax: 98.10373533532974 | Exploration: 0.163414561378 | Step: 47 | LR:0.0015
| Reward: -440 | Episode: 10 | Qmax: 97.32787509494358 | Exploration: 0.16014627015 | Step: 45 | LR:0.0015
| Reward: -760 | Episode: 11 | Qmax: 101.07959018034093 | Exploration: 0.156943344747 | Step: 68 | LR:0.0015
| Reward: -490 | Episode: 12 | Qmax: 107.965275275998 | Exploration: 0.153804477852 | Step: 41 | LR:0.0015
| Reward: -230 | Episode: 13 | Qmax: 106.12605476379395 | Exploration: 0.150728388295 | Step: 24 | LR:0.0015
| Reward: -2840 | Episode: 14 | Qmax: 109.5569994099935 | Exploration: 0.147713820529 | Step: 150 | LR:0.0015
| Reward: -2400 | Episode: 15 | Qmax: 114.66518242505131 | Exploration: 0.144759544118 | Step: 196 | LR:0.0015
| Reward: -350 | Episode: 16 | Qmax: 121.25736300150554 | Exploration: 0.141864353236 | Step: 36 | LR:0.0015
| Reward: -500 | Episode: 17 | Qmax: 118.80616705758231 | Exploration: 0.139027066171 | Step: 42 | LR:0.0015
| Reward: -580 | Episode: 18 | Qmax: 123.56658782958985 | Exploration: 0.136246524848 | Step: 50 | LR:0.0015
| Reward: -5810 | Episode: 19 | Qmax: 119.78108845253985 | Exploration: 0.136246524848 | Step: 499 | LR:0.0015
| Reward: -890 | Episode: 20 | Qmax: 119.6665278116862 | Exploration: 0.133521594351 | Step: 45 | LR:0.0015
