 | Episode: 0 | Train: 0 | Gym: 11.0498037338 | Batch: 0.00223422050476 | Guide: 10.830401659
 | Episode: 1 | Train: 0.246877670288 | Gym: 12.9862546921 | Batch: 0.11714887619 | Guide: 12.9014036655
 | Episode: 2 | Train: 0.136186122894 | Gym: 7.90699839592 | Batch: 0.0872492790222 | Guide: 7.86077332497
 | Episode: 3 | Train: 0.249578475952 | Gym: 18.8103384972 | Batch: 0.163138389587 | Guide: 18.7523207664
 | Episode: 4 | Train: 0.323645353317 | Gym: 18.1316344738 | Batch: 0.200605392456 | Guide: 18.0273549557
 | Episode: 5 | Train: 0.129104852676 | Gym: 8.38473153114 | Batch: 0.0869102478027 | Guide: 8.3504152298
 | Episode: 6 | Train: 0.480661392212 | Gym: 25.6222028732 | Batch: 0.298925161362 | Guide: 25.4267847538
 | Episode: 7 | Train: 0.123773097992 | Gym: 7.44578790665 | Batch: 0.0812246799469 | Guide: 7.40669488907
 | Episode: 8 | Train: 0.309235811234 | Gym: 24.753074646 | Batch: 0.201476097107 | Guide: 24.6466083527
 | Episode: 9 | Train: 0.195421457291 | Gym: 13.7825126648 | Batch: 0.129092216492 | Guide: 13.712533474
 | Episode: 10 | Train: 0.195259332657 | Gym: 12.6838264465 | Batch: 0.127484798431 | Guide: 12.6190192699
 | Episode: 11 | Train: 0.287361860275 | Gym: 15.478675127 | Batch: 0.181607246399 | Guide: 15.3528208733
 | Episode: 12 | Train: 0.159884929657 | Gym: 10.4357101917 | Batch: 0.102336645126 | Guide: 10.3771333694
 | Episode: 13 | Train: 0.0875418186188 | Gym: 3.82881689072 | Batch: 0.054548740387 | Guide: 3.79715418816
 | Episode: 14 | Train: 0.52302646637 | Gym: 33.0146679878 | Batch: 0.342225790024 | Guide: 32.8379974365
 | Episode: 15 | Train: 0.677180528641 | Gym: 36.726108551 | Batch: 0.426131725311 | Guide: 36.4499721527
 | Episode: 16 | Train: 0.125883579254 | Gym: 4.25339269638 | Batch: 0.0756735801697 | Guide: 4.19309878349
 | Episode: 17 | Train: 0.147409915924 | Gym: 5.919308424 | Batch: 0.0931117534637 | Guide: 5.86329722404
 | Episode: 18 | Train: 0.176697254181 | Gym: 9.095692873 | Batch: 0.11347413063 | Guide: 9.02934145927
 | Episode: 19 | Train: 1.72463536263 | Gym: 88.7541525364 | Batch: 1.0869410038 | Guide: 88.021007061
 | Episode: 20 | Train: 0.369617700577 | Gym: 8.28181362152 | Batch: 0.097638130188 | Guide: 8.20949411392
