| Reward: -3544 | Episode: 0 | Qmax: 19.95144284948259 | Exploration: 0.196 | Step: 233 | LR:0.0015
| Reward: -4312 | Episode: 1 | Qmax: 49.12876181415816 | Exploration: 0.19208 | Step: 281 | LR:0.0015
| Reward: -6096 | Episode: 2 | Qmax: 85.1585592153121 | Exploration: 0.1882384 | Step: 490 | LR:0.0015
| Reward: -4347 | Episode: 3 | Qmax: 106.1531264497963 | Exploration: 0.184473632 | Step: 361 | LR:0.0015
| Reward: -3879 | Episode: 4 | Qmax: 115.33820015733892 | Exploration: 0.18078415936 | Step: 352 | LR:0.0015
| Reward: -5497 | Episode: 5 | Qmax: 123.24840842143144 | Exploration: 0.177168476173 | Step: 404 | LR:0.0015
| Reward: -5447 | Episode: 6 | Qmax: 132.85910416650648 | Exploration: 0.173625106649 | Step: 381 | LR:0.0015
| Reward: -3424 | Episode: 7 | Qmax: 140.07667357939528 | Exploration: 0.170152604516 | Step: 266 | LR:0.0015
| Reward: -4900 | Episode: 8 | Qmax: 146.6431964608126 | Exploration: 0.166749552426 | Step: 473 | LR:0.0015
| Reward: -6880 | Episode: 9 | Qmax: 157.17843383601837 | Exploration: 0.163414561378 | Step: 815 | LR:0.0015
| Reward: -5351 | Episode: 10 | Qmax: 170.57488632963566 | Exploration: 0.16014627015 | Step: 501 | LR:0.0015
| Reward: -7371 | Episode: 11 | Qmax: 182.78903725509244 | Exploration: 0.156943344747 | Step: 955 | LR:0.0015
| Reward: -7740 | Episode: 12 | Qmax: 192.84424567160346 | Exploration: 0.153804477852 | Step: 766 | LR:0.0015
| Reward: -5146 | Episode: 13 | Qmax: 206.17564945077538 | Exploration: 0.150728388295 | Step: 665 | LR:0.0015
| Reward: -6228 | Episode: 14 | Qmax: 209.91172153949736 | Exploration: 0.147713820529 | Step: 640 | LR:0.0015
| Reward: -7376 | Episode: 15 | Qmax: 212.55585532280367 | Exploration: 0.144759544118 | Step: 726 | LR:0.0015
| Reward: -9352 | Episode: 16 | Qmax: 219.95299031331135 | Exploration: 0.144759544118 | Step: 999 | LR:0.0015
| Reward: -6841 | Episode: 17 | Qmax: 233.82319686935472 | Exploration: 0.144759544118 | Step: 999 | LR:0.0015
| Reward: -11323 | Episode: 18 | Qmax: 241.0760325755443 | Exploration: 0.144759544118 | Step: 999 | LR:0.0015
| Reward: -4451 | Episode: 19 | Qmax: 246.35383626001416 | Exploration: 0.141864353236 | Step: 609 | LR:0.0015
