 | Episode: 0 | Train: 0.94584774971 | Gym: 256.668600321 | Batch: 0.454216480255 | Guide: 256.271362305
 | Episode: 1 | Train: 1.09709692001 | Gym: 268.777097225 | Batch: 0.698881387711 | Guide: 268.401858568
 | Episode: 2 | Train: 1.86114549637 | Gym: 423.552000761 | Batch: 1.16551017761 | Guide: 422.947671175
 | Episode: 3 | Train: 1.38559412956 | Gym: 409.611663818 | Batch: 0.877427101135 | Guide: 409.153033972
 | Episode: 4 | Train: 1.3414709568 | Gym: 272.191287279 | Batch: 0.844422101974 | Guide: 271.687963963
 | Episode: 5 | Train: 1.54241657257 | Gym: 345.15437007 | Batch: 0.968128919601 | Guide: 344.583167076
 | Episode: 6 | Train: 1.46729636192 | Gym: 378.334207296 | Batch: 0.924288749695 | Guide: 377.841364384
 | Episode: 7 | Train: 1.01278305054 | Gym: 205.546745777 | Batch: 0.64571595192 | Guide: 205.210479021
 | Episode: 8 | Train: 1.81397414207 | Gym: 302.647271156 | Batch: 1.14392137527 | Guide: 301.984250069
 | Episode: 9 | Train: 3.13433814049 | Gym: 627.83921957 | Batch: 1.96920967102 | Guide: 626.631726027
 | Episode: 10 | Train: 1.90444469452 | Gym: 368.734931707 | Batch: 1.20185065269 | Guide: 368.008793354
 | Episode: 11 | Train: 3.67130446434 | Gym: 672.746949196 | Batch: 2.28037548065 | Guide: 671.211302996
 | Episode: 12 | Train: 2.93153429031 | Gym: 639.100786209 | Batch: 1.8310379982 | Guide: 637.860761881
 | Episode: 13 | Train: 2.54025769234 | Gym: 558.976560354 | Batch: 1.57502913475 | Guide: 557.924174547
 | Episode: 14 | Train: 2.4375641346 | Gym: 376.505282879 | Batch: 1.52648067474 | Guide: 375.534473419
 | Episode: 15 | Train: 2.78647637367 | Gym: 495.442462683 | Batch: 1.73149371147 | Guide: 494.317660809
 | Episode: 16 | Train: 3.85529565811 | Gym: 675.674339056 | Batch: 2.36575460434 | Guide: 673.97372818
 | Episode: 17 | Train: 3.84049797058 | Gym: 704.548116922 | Batch: 2.36451268196 | Guide: 702.88491869
 | Episode: 18 | Train: 3.88010883331 | Gym: 714.819140196 | Batch: 2.37320923805 | Guide: 713.128841877
 | Episode: 19 | Train: 2.34136557579 | Gym: 468.080638647 | Batch: 1.46040511131 | Guide: 467.092553139
 | Episode: 20 | Train: 2.58643388748 | Gym: 508.11959362 | Batch: 1.51017808914 | Guide: 506.968758345
 | Episode: 21 | Train: 3.82727169991 | Gym: 615.934715271 | Batch: 2.34790754318 | Guide: 614.206885815
 | Episode: 22 | Train: 3.84464335442 | Gym: 721.742929697 | Batch: 2.34344696999 | Guide: 719.991424322
 | Episode: 23 | Train: 3.55985331535 | Gym: 571.363831282 | Batch: 2.184258461 | Guide: 569.737428188
 | Episode: 24 | Train: 3.8133456707 | Gym: 604.708436251 | Batch: 2.3347864151 | Guide: 602.990813494
 | Episode: 25 | Train: 2.34398436546 | Gym: 338.720507145 | Batch: 1.4555580616 | Guide: 337.608513117
 | Episode: 26 | Train: 3.82162809372 | Gym: 602.07517314 | Batch: 2.35844159126 | Guide: 600.327022791
 | Episode: 27 | Train: 3.82081079483 | Gym: 504.95030427 | Batch: 2.35742211342 | Guide: 503.16639924
 | Episode: 28 | Train: 3.82928442955 | Gym: 488.222892284 | Batch: 2.36627483368 | Guide: 486.438833475
 | Episode: 29 | Train: 3.85459327698 | Gym: 615.843950748 | Batch: 2.38553857803 | Guide: 613.936808348
 | Episode: 30 | Train: 3.84188699722 | Gym: 442.546900034 | Batch: 2.3608686924 | Guide: 440.638320208
 | Episode: 31 | Train: 2.85150837898 | Gym: 474.625715017 | Batch: 1.75551795959 | Guide: 473.358923435
 | Episode: 32 | Train: 3.13182258606 | Gym: 608.111269951 | Batch: 1.9451379776 | Guide: 606.626394033
 | Episode: 33 | Train: 3.84651780128 | Gym: 620.321084499 | Batch: 2.37489438057 | Guide: 618.489875555
 | Episode: 34 | Train: 3.41821908951 | Gym: 528.722710371 | Batch: 2.06323742867 | Guide: 527.127659798
 | Episode: 35 | Train: 2.54375886917 | Gym: 416.656092882 | Batch: 1.53971600533 | Guide: 415.566271544
 | Episode: 36 | Train: 3.28820371628 | Gym: 655.377637386 | Batch: 1.98209428787 | Guide: 653.908073902
 | Episode: 37 | Train: 2.69212627411 | Gym: 441.61500597 | Batch: 1.61676239967 | Guide: 440.412935019
 | Episode: 38 | Train: 3.28145265579 | Gym: 478.981858969 | Batch: 1.97355389595 | Guide: 477.532884121
 | Episode: 39 | Train: 3.30379581451 | Gym: 582.596526146 | Batch: 2.03114056587 | Guide: 581.196018696
 | Episode: 40 | Train: 3.37076616287 | Gym: 569.0941329 | Batch: 2.01013207436 | Guide: 567.640690088
 | Episode: 41 | Train: 3.30726933479 | Gym: 494.298074484 | Batch: 2.0084104538 | Guide: 492.817520618
 | Episode: 42 | Train: 3.29600715637 | Gym: 432.812021017 | Batch: 1.99104857445 | Guide: 431.325757265
 | Episode: 43 | Train: 3.30919075012 | Gym: 552.78622961 | Batch: 2.01374483109 | Guide: 551.309717655
 | Episode: 44 | Train: 3.30041360855 | Gym: 514.020681143 | Batch: 2.00828075409 | Guide: 512.562945604
 | Episode: 45 | Train: 2.41004133224 | Gym: 395.200486898 | Batch: 1.46138381958 | Guide: 394.151196003
 | Episode: 46 | Train: 3.00602173805 | Gym: 374.415329456 | Batch: 1.80988073349 | Guide: 373.032897949
 | Episode: 47 | Train: 3.3031270504 | Gym: 558.910627365 | Batch: 2.01943445206 | Guide: 557.469344378
 | Episode: 48 | Train: 3.30453205109 | Gym: 585.510648727 | Batch: 2.01419234276 | Guide: 584.004159212
 | Episode: 49 | Train: 3.29387259483 | Gym: 433.198635101 | Batch: 2.00583410263 | Guide: 431.680985928
 | Episode: 50 | Train: 2.22254633904 | Gym: 300.554849863 | Batch: 1.35674667358 | Guide: 299.574485064
 | Episode: 51 | Train: 3.29341483116 | Gym: 515.426918507 | Batch: 1.99767017365 | Guide: 513.931301117
 | Episode: 52 | Train: 3.29131340981 | Gym: 539.586369038 | Batch: 2.00253152847 | Guide: 538.079333782
 | Episode: 53 | Train: 3.29697465897 | Gym: 666.987963438 | Batch: 2.02622389793 | Guide: 665.498561621
 | Episode: 54 | Train: 3.30168509483 | Gym: 465.009213686 | Batch: 2.02410173416 | Guide: 463.500677109
 | Episode: 55 | Train: 2.99322295189 | Gym: 472.128943205 | Batch: 1.81884670258 | Guide: 470.789442301
 | Episode: 56 | Train: 2.32554197311 | Gym: 362.762763739 | Batch: 1.41881585121 | Guide: 361.680065632
 | Episode: 57 | Train: 2.38084244728 | Gym: 434.187441587 | Batch: 1.47414803505 | Guide: 433.143317461
 | Episode: 58 | Train: 3.29162144661 | Gym: 559.723533869 | Batch: 2.00571084023 | Guide: 558.156661987
 | Episode: 59 | Train: 3.20305037498 | Gym: 495.816482067 | Batch: 1.95814752579 | Guide: 494.356915712
 | Episode: 60 | Train: 2.05745410919 | Gym: 230.038405657 | Batch: 1.21287560463 | Guide: 229.081564426
