| Reward: -2000 | Episode: 0 | Qmax: 12.269900940171437 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 1 | Qmax: 17.003217534204225 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -3080 | Episode: 2 | Qmax: 17.07991386298558 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 3 | Qmax: 17.18687523789142 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 4 | Qmax: 16.842540017324477 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 5 | Qmax: 17.253828633370713 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 6 | Qmax: 15.280553908803356 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 7 | Qmax: 14.219482112769505 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 8 | Qmax: 12.702593947175759 | Exploration: 0.7 | Step: 199 | LR:0.0015
| Reward: -1420 | Episode: 9 | Qmax: 10.672900346609262 | Exploration: 0.686 | Step: 143 | LR:0.0015
| Reward: -2630 | Episode: 10 | Qmax: 10.266500551721558 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 11 | Qmax: 8.774959205381862 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 12 | Qmax: 2.90741253103394 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 13 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 14 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 15 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 16 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 17 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 18 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 19 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 20 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 21 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 22 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 23 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 24 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 25 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 26 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -3890 | Episode: 27 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 28 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 29 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 30 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 31 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 32 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 33 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 34 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -3440 | Episode: 35 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 36 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 37 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 38 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 39 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 40 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 41 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 42 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2000 | Episode: 43 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 44 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 45 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 46 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 47 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 48 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 49 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 50 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -3260 | Episode: 51 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2090 | Episode: 52 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 53 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2900 | Episode: 54 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 55 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 56 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 57 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 58 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -3530 | Episode: 59 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 60 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 61 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 62 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 63 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 64 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 65 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 66 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2630 | Episode: 67 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 68 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 69 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2450 | Episode: 70 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2540 | Episode: 71 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2360 | Episode: 72 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2810 | Episode: 73 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 74 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2270 | Episode: 75 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2990 | Episode: 76 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 77 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2180 | Episode: 78 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 79 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
| Reward: -2720 | Episode: 80 | Qmax: 0.0 | Exploration: 0.686 | Step: 199 | LR:0.0015
