| Reward: 63 | Episode: 0 | Qmax: 0.0 | Exploration: 0.6993 | Step: 37 | LearningRate: 0.00147
| Reward: 39 | Episode: 1 | Qmax: 18.020785284824058 | Exploration: 0.6986007 | Step: 61 | LearningRate: 0.0014406
| Reward: 72 | Episode: 2 | Qmax: 34.99583053588867 | Exploration: 0.6979020993 | Step: 28 | LearningRate: 0.0014117882
| Reward: 46 | Episode: 3 | Qmax: 39.2619435345685 | Exploration: 0.697204197201 | Step: 54 | LearningRate: 0.0013835524
| Reward: -40 | Episode: 4 | Qmax: 39.497868047441756 | Exploration: 0.696506993003 | Step: 140 | LearningRate: 0.0013558815
| Reward: -79 | Episode: 5 | Qmax: 38.11682971762545 | Exploration: 0.69581048601 | Step: 179 | LearningRate: 0.0013287639
| Reward: 28 | Episode: 6 | Qmax: 39.39125474294027 | Exploration: 0.695114675524 | Step: 72 | LearningRate: 0.0013021886
| Reward: 46 | Episode: 7 | Qmax: 40.369867148222745 | Exploration: 0.694419560849 | Step: 54 | LearningRate: 0.0012761449
| Reward: 44 | Episode: 8 | Qmax: 43.60715644700186 | Exploration: 0.693725141288 | Step: 56 | LearningRate: 0.0012506221
| Reward: -218 | Episode: 9 | Qmax: 41.85123245071315 | Exploration: 0.693031416147 | Step: 318 | LearningRate: 0.0012506221
| Reward: 67 | Episode: 10 | Qmax: 39.82285609389796 | Exploration: 0.692338384731 | Step: 33 | LearningRate: 0.0012256097
| Reward: -20 | Episode: 11 | Qmax: 43.5120684782664 | Exploration: 0.691646046346 | Step: 120 | LearningRate: 0.0012010975
| Reward: -31 | Episode: 12 | Qmax: 46.855117681372256 | Exploration: 0.6909544003 | Step: 131 | LearningRate: 0.0011770756
| Reward: 25 | Episode: 13 | Qmax: 46.65599349975586 | Exploration: 0.690263445899 | Step: 75 | LearningRate: 0.001153534
| Reward: -131 | Episode: 14 | Qmax: 42.15393118424849 | Exploration: 0.689573182453 | Step: 231 | LearningRate: 0.0011304634
| Reward: 41 | Episode: 15 | Qmax: 44.80424434855833 | Exploration: 0.688883609271 | Step: 59 | LearningRate: 0.0011078543
| Reward: 10 | Episode: 16 | Qmax: 43.011939451429576 | Exploration: 0.688194725662 | Step: 90 | LearningRate: 0.0010856972
| Reward: 45 | Episode: 17 | Qmax: 42.85509359186346 | Exploration: 0.687506530936 | Step: 55 | LearningRate: 0.0010639832
| Reward: 57 | Episode: 18 | Qmax: 43.22680034193882 | Exploration: 0.686819024405 | Step: 43 | LearningRate: 0.0010427036
| Reward: 51 | Episode: 19 | Qmax: 41.10309032518037 | Exploration: 0.686132205381 | Step: 49 | LearningRate: 0.0010218495
| Reward: -167 | Episode: 20 | Qmax: 43.81243510014109 | Exploration: 0.685446073175 | Step: 267 | LearningRate: 0.0010014126
| Reward: -143 | Episode: 21 | Qmax: 43.2426564251935 | Exploration: 0.684760627102 | Step: 243 | LearningRate: 0.0009813843
| Reward: 64 | Episode: 22 | Qmax: 48.54773807525635 | Exploration: 0.684075866475 | Step: 36 | LearningRate: 0.0009617567
| Reward: 57 | Episode: 23 | Qmax: 43.29345503518748 | Exploration: 0.683391790609 | Step: 43 | LearningRate: 0.00094252155
| Reward: -125 | Episode: 24 | Qmax: 44.84781942579481 | Exploration: 0.682708398818 | Step: 225 | LearningRate: 0.00092367106
| Reward: -56 | Episode: 25 | Qmax: 43.525422903207634 | Exploration: 0.682025690419 | Step: 156 | LearningRate: 0.0009051977
| Reward: 9 | Episode: 26 | Qmax: 42.46609000321273 | Exploration: 0.681343664729 | Step: 91 | LearningRate: 0.0008870937
| Reward: 49 | Episode: 27 | Qmax: 44.24185124565573 | Exploration: 0.680662321064 | Step: 51 | LearningRate: 0.00086935185
| Reward: 46 | Episode: 28 | Qmax: 40.629484777097346 | Exploration: 0.679981658743 | Step: 54 | LearningRate: 0.0008519649
| Reward: 51 | Episode: 29 | Qmax: 44.621032870545676 | Exploration: 0.679301677084 | Step: 49 | LearningRate: 0.0008349256
| Reward: 13 | Episode: 30 | Qmax: 38.90770581124843 | Exploration: 0.678622375407 | Step: 87 | LearningRate: 0.00081822707
| Reward: 58 | Episode: 31 | Qmax: 41.97967225029355 | Exploration: 0.677943753032 | Step: 42 | LearningRate: 0.00080186257
| Reward: -104 | Episode: 32 | Qmax: 47.825013572094484 | Exploration: 0.677265809279 | Step: 204 | LearningRate: 0.0007858253
| Reward: -70 | Episode: 33 | Qmax: 52.80827343884636 | Exploration: 0.676588543469 | Step: 170 | LearningRate: 0.0007701088
| Reward: -261 | Episode: 34 | Qmax: 53.2425918737607 | Exploration: 0.675911954926 | Step: 361 | LearningRate: 0.0007701088
| Reward: -103 | Episode: 35 | Qmax: 46.95099325133074 | Exploration: 0.675236042971 | Step: 203 | LearningRate: 0.00075470656
| Reward: 10 | Episode: 36 | Qmax: 46.255226347181534 | Exploration: 0.674560806928 | Step: 90 | LearningRate: 0.0007396125
| Reward: 51 | Episode: 37 | Qmax: 47.405565612170165 | Exploration: 0.673886246121 | Step: 49 | LearningRate: 0.00072482025
| Reward: -5 | Episode: 38 | Qmax: 48.72247677757626 | Exploration: 0.673212359875 | Step: 105 | LearningRate: 0.00071032386
| Reward: -125 | Episode: 39 | Qmax: 45.788957358466256 | Exploration: 0.672539147515 | Step: 225 | LearningRate: 0.00069611735
| Reward: 53 | Episode: 40 | Qmax: 42.5933454797623 | Exploration: 0.671866608368 | Step: 47 | LearningRate: 0.00068219495
| Reward: 56 | Episode: 41 | Qmax: 49.179994799874045 | Exploration: 0.671194741759 | Step: 44 | LearningRate: 0.00066855113
| Reward: -77 | Episode: 42 | Qmax: 45.67066208790924 | Exploration: 0.670523547017 | Step: 177 | LearningRate: 0.0006551801
| Reward: -38 | Episode: 43 | Qmax: 49.533993320188664 | Exploration: 0.66985302347 | Step: 138 | LearningRate: 0.0006420764
| Reward: 15 | Episode: 44 | Qmax: 46.2696450401755 | Exploration: 0.669183170447 | Step: 85 | LearningRate: 0.00062923494
| Reward: -46 | Episode: 45 | Qmax: 46.74097637281026 | Exploration: 0.668513987276 | Step: 146 | LearningRate: 0.0006166502
