| Reward: -372 | Episode: 0 | Qmax: 25.263208175109604 | Exploration: 0.6993 | Step: 472 | LearningRate: 0.0015
| Reward: 43 | Episode: 1 | Qmax: 31.782642632200005 | Exploration: 0.6986007 | Step: 57 | LearningRate: 0.0015
| Reward: 36 | Episode: 2 | Qmax: 31.845321357250214 | Exploration: 0.6979020993 | Step: 64 | LearningRate: 0.0015
| Reward: 23 | Episode: 3 | Qmax: 31.78821494362571 | Exploration: 0.697204197201 | Step: 77 | LearningRate: 0.0015
| Reward: -111 | Episode: 4 | Qmax: 35.151413867823884 | Exploration: 0.696506993003 | Step: 211 | LearningRate: 0.0015
| Reward: -1099 | Episode: 5 | Qmax: 48.11202147724829 | Exploration: 0.69581048601 | Step: 1199 | LearningRate: 0.0015
| Reward: 10 | Episode: 6 | Qmax: 56.00793948703342 | Exploration: 0.695114675524 | Step: 90 | LearningRate: 0.0015
| Reward: 53 | Episode: 7 | Qmax: 54.57482463755506 | Exploration: 0.694419560849 | Step: 47 | LearningRate: 0.0015
| Reward: 51 | Episode: 8 | Qmax: 57.019065000572986 | Exploration: 0.693725141288 | Step: 49 | LearningRate: 0.0015
| Reward: -233 | Episode: 9 | Qmax: 53.64275639622777 | Exploration: 0.693031416147 | Step: 333 | LearningRate: 0.0015
| Reward: 52 | Episode: 10 | Qmax: 59.47803823153178 | Exploration: 0.692338384731 | Step: 48 | LearningRate: 0.0015
| Reward: -715 | Episode: 11 | Qmax: 58.68928223124311 | Exploration: 0.691646046346 | Step: 815 | LearningRate: 0.0015
| Reward: 26 | Episode: 12 | Qmax: 61.335236111202754 | Exploration: 0.6909544003 | Step: 74 | LearningRate: 0.0015
| Reward: 62 | Episode: 13 | Qmax: 56.5132229453639 | Exploration: 0.690263445899 | Step: 38 | LearningRate: 0.0015
| Reward: 45 | Episode: 14 | Qmax: 58.92415514859286 | Exploration: 0.689573182453 | Step: 55 | LearningRate: 0.0015
