| Reward: -72 | Episode: 0 | Qmax: 15.700558640236078 | Exploration: 0.693 | Step: 172 | LearningRate: 0.00147
| Reward: -43 | Episode: 1 | Qmax: 28.538851251135338 | Exploration: 0.68607 | Step: 143 | LearningRate: 0.0014406
| Reward: 51 | Episode: 2 | Qmax: 29.91979050149723 | Exploration: 0.6792093 | Step: 49 | LearningRate: 0.0014117882
| Reward: 43 | Episode: 3 | Qmax: 31.329693944830645 | Exploration: 0.672417207 | Step: 57 | LearningRate: 0.0013835524
| Reward: -71 | Episode: 4 | Qmax: 33.10624481781184 | Exploration: 0.66569303493 | Step: 171 | LearningRate: 0.0013558815
| Reward: 28 | Episode: 5 | Qmax: 33.940641244252525 | Exploration: 0.659036104581 | Step: 72 | LearningRate: 0.0013287639
| Reward: -867 | Episode: 6 | Qmax: 36.43712147709749 | Exploration: 0.652445743535 | Step: 967 | LearningRate: 0.0013287639
| Reward: -1222 | Episode: 7 | Qmax: 36.971530850824536 | Exploration: 0.6459212861 | Step: 1322 | LearningRate: 0.0013287639
| Reward: 51 | Episode: 8 | Qmax: 39.05625253794145 | Exploration: 0.639462073239 | Step: 49 | LearningRate: 0.0013021886
| Reward: 54 | Episode: 9 | Qmax: 36.5285353867904 | Exploration: 0.633067452506 | Step: 46 | LearningRate: 0.0012761449
| Reward: -180 | Episode: 10 | Qmax: 38.142973688670565 | Exploration: 0.626736777981 | Step: 280 | LearningRate: 0.0012506221
| Reward: 59 | Episode: 11 | Qmax: 37.470010013115115 | Exploration: 0.620469410201 | Step: 41 | LearningRate: 0.0012256097
| Reward: -2 | Episode: 12 | Qmax: 36.682357470194496 | Exploration: 0.614264716099 | Step: 102 | LearningRate: 0.0012010975
| Reward: -468 | Episode: 13 | Qmax: 36.063042808586445 | Exploration: 0.608122068938 | Step: 568 | LearningRate: 0.0012010975
| Reward: -88 | Episode: 14 | Qmax: 36.375316274927016 | Exploration: 0.602040848249 | Step: 188 | LearningRate: 0.0011770756
| Reward: -546 | Episode: 15 | Qmax: 36.01303395545889 | Exploration: 0.596020439766 | Step: 646 | LearningRate: 0.0011770756
| Reward: -47 | Episode: 16 | Qmax: 38.6039501631341 | Exploration: 0.590060235369 | Step: 147 | LearningRate: 0.001153534
| Reward: -1413 | Episode: 17 | Qmax: 35.74384611045298 | Exploration: 0.584159633015 | Step: 1513 | LearningRate: 0.001153534
| Reward: 17 | Episode: 18 | Qmax: 36.76788573667228 | Exploration: 0.578318036685 | Step: 83 | LearningRate: 0.0011304634
| Reward: 62 | Episode: 19 | Qmax: 33.74167597921271 | Exploration: 0.572534856318 | Step: 38 | LearningRate: 0.0011078543
| Reward: -555 | Episode: 20 | Qmax: 35.625039055511245 | Exploration: 0.566809507755 | Step: 655 | LearningRate: 0.0011078543
| Reward: -412 | Episode: 21 | Qmax: 35.723650962114334 | Exploration: 0.561141412677 | Step: 512 | LearningRate: 0.0011078543
| Reward: -5 | Episode: 22 | Qmax: 36.863155728294736 | Exploration: 0.555529998551 | Step: 105 | LearningRate: 0.0010856972
| Reward: -1268 | Episode: 23 | Qmax: 35.45206506628739 | Exploration: 0.549974698565 | Step: 1368 | LearningRate: 0.0010856972
| Reward: -2000 | Episode: 24 | Qmax: 36.271981117664545 | Exploration: 0.549974698565 | Step: 1999 | LearningRate: 0.0010856972
| Reward: -166 | Episode: 25 | Qmax: 34.74250388324709 | Exploration: 0.544474951579 | Step: 266 | LearningRate: 0.0010639832
| Reward: -1836 | Episode: 26 | Qmax: 35.51295512865398 | Exploration: 0.539030202064 | Step: 1936 | LearningRate: 0.0010639832
| Reward: -41 | Episode: 27 | Qmax: 38.47070785955334 | Exploration: 0.533639900043 | Step: 141 | LearningRate: 0.0010427036
| Reward: -1472 | Episode: 28 | Qmax: 36.46590246923704 | Exploration: 0.528303501043 | Step: 1572 | LearningRate: 0.0010427036
| Reward: -2000 | Episode: 29 | Qmax: 35.853895558542824 | Exploration: 0.528303501043 | Step: 1999 | LearningRate: 0.0010427036
| Reward: -2000 | Episode: 30 | Qmax: 34.7618956181811 | Exploration: 0.528303501043 | Step: 1999 | LearningRate: 0.0010427036
| Reward: 65 | Episode: 31 | Qmax: 36.195083836146765 | Exploration: 0.523020466032 | Step: 35 | LearningRate: 0.0010218495
| Reward: -204 | Episode: 32 | Qmax: 34.73421655830584 | Exploration: 0.517790261372 | Step: 304 | LearningRate: 0.0010218495
| Reward: -1268 | Episode: 33 | Qmax: 34.202687591140034 | Exploration: 0.512612358758 | Step: 1368 | LearningRate: 0.0010218495
| Reward: -2000 | Episode: 34 | Qmax: 34.966945672047146 | Exploration: 0.512612358758 | Step: 1999 | LearningRate: 0.0010218495
| Reward: -2000 | Episode: 35 | Qmax: 34.46888467942315 | Exploration: 0.512612358758 | Step: 1999 | LearningRate: 0.0010218495
| Reward: -2000 | Episode: 36 | Qmax: 34.61175249337315 | Exploration: 0.512612358758 | Step: 1999 | LearningRate: 0.0010218495
| Reward: -1757 | Episode: 37 | Qmax: 34.58738095104277 | Exploration: 0.50748623517 | Step: 1857 | LearningRate: 0.0010218495
