| Reward: 54 | Episode: 0 | Qmax: 0.0 | Exploration: 0.693 | Step: 46 | LearningRate: 0.0015
| Reward: 61 | Episode: 1 | Qmax: 17.739911495110928 | Exploration: 0.68607 | Step: 39 | LearningRate: 0.0015
| Reward: 61 | Episode: 2 | Qmax: 35.11851472121019 | Exploration: 0.6792093 | Step: 39 | LearningRate: 0.0015
| Reward: 63 | Episode: 3 | Qmax: 35.755539043529616 | Exploration: 0.672417207 | Step: 37 | LearningRate: 0.0015
| Reward: 48 | Episode: 4 | Qmax: 38.67639365563026 | Exploration: 0.66569303493 | Step: 52 | LearningRate: 0.0015
| Reward: 30 | Episode: 5 | Qmax: 41.83144335065569 | Exploration: 0.659036104581 | Step: 70 | LearningRate: 0.0015
| Reward: 36 | Episode: 6 | Qmax: 44.631541937589645 | Exploration: 0.652445743535 | Step: 64 | LearningRate: 0.0015
| Reward: -551 | Episode: 7 | Qmax: 58.73447639711441 | Exploration: 0.6459212861 | Step: 651 | LearningRate: 0.0015
| Reward: 19 | Episode: 8 | Qmax: 59.8855093261342 | Exploration: 0.639462073239 | Step: 81 | LearningRate: 0.0015
| Reward: -32 | Episode: 9 | Qmax: 43.622898145155474 | Exploration: 0.633067452506 | Step: 132 | LearningRate: 0.0015
| Reward: 4 | Episode: 10 | Qmax: 43.169408877690636 | Exploration: 0.626736777981 | Step: 96 | LearningRate: 0.0015
| Reward: -183 | Episode: 11 | Qmax: 41.622880194296684 | Exploration: 0.620469410201 | Step: 283 | LearningRate: 0.0015
| Reward: -63 | Episode: 12 | Qmax: 39.78122266523677 | Exploration: 0.614264716099 | Step: 163 | LearningRate: 0.0015
| Reward: 31 | Episode: 13 | Qmax: 43.252839793329656 | Exploration: 0.608122068938 | Step: 69 | LearningRate: 0.0015
| Reward: -106 | Episode: 14 | Qmax: 44.11036232142772 | Exploration: 0.602040848249 | Step: 206 | LearningRate: 0.0015
| Reward: -466 | Episode: 15 | Qmax: 42.603026117115895 | Exploration: 0.596020439766 | Step: 566 | LearningRate: 0.0015
