| Reward: -2533 | Episode: 0 | Qmax: 29.193104303159327 | Exploration: 0.686
| Reward: -205 | Episode: 0 | Qmax: 13.454381880213003 | Exploration: 0.686
| Reward: -895 | Episode: 1 | Qmax: 15.95853867363091 | Exploration: 0.67228
| Reward: -201 | Episode: 2 | Qmax: 15.957363024106453 | Exploration: 0.6588344
| Reward: -2185 | Episode: 3 | Qmax: 15.414037190693994 | Exploration: 0.645657712
| Reward: -200 | Episode: 0 | Qmax: 11.969606835638459 | Exploration: 0.7
| Reward: -200 | Episode: 1 | Qmax: 16.13959653653092 | Exploration: 0.7
| Reward: -200 | Episode: 2 | Qmax: 15.640203969562473 | Exploration: 0.7
| Reward: -200 | Episode: 3 | Qmax: 15.267540874193662 | Exploration: 0.7
| Reward: -95 | Episode: 4 | Qmax: 15.08218791179168 | Exploration: 0.686
| Reward: -200 | Episode: 5 | Qmax: 14.979605478257989 | Exploration: 0.686
| Reward: -200 | Episode: 6 | Qmax: 14.620040759369356 | Exploration: 0.686
| Reward: -200 | Episode: 7 | Qmax: 14.648226958423404 | Exploration: 0.686
| Reward: -200 | Episode: 8 | Qmax: 14.705599856736074 | Exploration: 0.686
| Reward: -200 | Episode: 9 | Qmax: 14.454259613650528 | Exploration: 0.686
| Reward: -21 | Episode: 10 | Qmax: 14.464241004187214 | Exploration: 0.67228
| Reward: -200 | Episode: 11 | Qmax: 14.6034047543703 | Exploration: 0.67228
| Reward: -75 | Episode: 12 | Qmax: 15.494683243887765 | Exploration: 0.6588344
| Reward: -200 | Episode: 13 | Qmax: 16.76931980267242 | Exploration: 0.6588344
| Reward: -200 | Episode: 14 | Qmax: 18.91489539314155 | Exploration: 0.6588344
| Reward: -200 | Episode: 15 | Qmax: 20.537921670693247 | Exploration: 0.6588344
| Reward: -200 | Episode: 16 | Qmax: 20.635085700145318 | Exploration: 0.6588344
| Reward: -200 | Episode: 17 | Qmax: 22.023139646903953 | Exploration: 0.6588344
| Reward: -64 | Episode: 18 | Qmax: 22.15714542458697 | Exploration: 0.645657712
| Reward: -58 | Episode: 19 | Qmax: 21.285683933692642 | Exploration: 0.63274455776
| Reward: -200 | Episode: 20 | Qmax: 20.79952769063825 | Exploration: 0.63274455776
| Reward: -70 | Episode: 21 | Qmax: 21.52465218375711 | Exploration: 0.620089666605
| Reward: -200 | Episode: 22 | Qmax: 24.26345679508382 | Exploration: 0.620089666605
| Reward: -21 | Episode: 23 | Qmax: 26.892813367291915 | Exploration: 0.607687873273
| Reward: -200 | Episode: 24 | Qmax: 25.74678163192979 | Exploration: 0.607687873273
| Reward: -200 | Episode: 25 | Qmax: 25.224458450049013 | Exploration: 0.607687873273
| Reward: -200 | Episode: 26 | Qmax: 25.7250093575099 | Exploration: 0.607687873273
| Reward: -200 | Episode: 27 | Qmax: 26.500567747719924 | Exploration: 0.607687873273
| Reward: -200 | Episode: 28 | Qmax: 25.96061875233099 | Exploration: 0.607687873273
| Reward: -200 | Episode: 29 | Qmax: 24.959402515660578 | Exploration: 0.607687873273
| Reward: -200 | Episode: 30 | Qmax: 23.593591848210473 | Exploration: 0.607687873273
| Reward: -2500 | Episode: 0 | Qmax: 1.4805321588084615 | Exploration: 0.686
| Reward: -2540 | Episode: 1 | Qmax: 6.873168775802432 | Exploration: 0.686
| Reward: -2720 | Episode: 2 | Qmax: 0.04757810461372324 | Exploration: 0.686
| Reward: -2810 | Episode: 3 | Qmax: 1.5817961005035357 | Exploration: 0.686
| Reward: -2720 | Episode: 4 | Qmax: -1.0545629153599092 | Exploration: 0.686
| Reward: -2900 | Episode: 5 | Qmax: -2.2786738974365157 | Exploration: 0.686
| Reward: -3440 | Episode: 6 | Qmax: -5.451904157897336 | Exploration: 0.686
| Reward: -2450 | Episode: 7 | Qmax: -7.467631201049191 | Exploration: 0.686
| Reward: -1480 | Episode: 8 | Qmax: -9.715291363294007 | Exploration: 0.67228
| Reward: -2630 | Episode: 9 | Qmax: -11.162807478976609 | Exploration: 0.67228
| Reward: -2090 | Episode: 10 | Qmax: -11.896678669699307 | Exploration: 0.6588344
| Reward: -2180 | Episode: 11 | Qmax: -8.752507929563821 | Exploration: 0.6588344
| Reward: -2000 | Episode: 12 | Qmax: -6.0355888694974045 | Exploration: 0.6588344
| Reward: -2720 | Episode: 13 | Qmax: -6.960870051803301 | Exploration: 0.6588344
| Reward: -2990 | Episode: 14 | Qmax: -2.8177382096685655 | Exploration: 0.6588344
| Reward: -3260 | Episode: 15 | Qmax: -3.1390750201503237 | Exploration: 0.6588344
| Reward: -2620 | Episode: 16 | Qmax: -7.677358217946776 | Exploration: 0.645657712
| Reward: -2360 | Episode: 17 | Qmax: -13.283478746312348 | Exploration: 0.645657712
| Reward: -3080 | Episode: 18 | Qmax: -14.808399998362939 | Exploration: 0.645657712
| Reward: -2900 | Episode: 19 | Qmax: -19.53147050124317 | Exploration: 0.645657712
| Reward: -3350 | Episode: 20 | Qmax: -19.629597291799644 | Exploration: 0.645657712
| Reward: -2540 | Episode: 21 | Qmax: -20.46672458639696 | Exploration: 0.645657712
| Reward: -2720 | Episode: 22 | Qmax: -23.83844696636775 | Exploration: 0.645657712
| Reward: -2900 | Episode: 23 | Qmax: -22.172121019219635 | Exploration: 0.645657712
| Reward: -2810 | Episode: 24 | Qmax: -22.41629370013673 | Exploration: 0.645657712
| Reward: -2630 | Episode: 25 | Qmax: -27.82175517980777 | Exploration: 0.645657712
| Reward: -2450 | Episode: 26 | Qmax: -28.57946618537807 | Exploration: 0.645657712
| Reward: -2720 | Episode: 27 | Qmax: -30.986161538703957 | Exploration: 0.645657712
| Reward: -2720 | Episode: 28 | Qmax: -32.85006179042797 | Exploration: 0.645657712
| Reward: -2810 | Episode: 29 | Qmax: -37.282824084986395 | Exploration: 0.645657712
| Reward: -2450 | Episode: 30 | Qmax: -34.41359028025488 | Exploration: 0.645657712
| Reward: -2630 | Episode: 31 | Qmax: -36.053691530646994 | Exploration: 0.645657712
