| Reward: -720 | Episode: 0 | Qmax: 0.0 | Exploration: 0.196 | Step: 55 | LR:0.0015
| Reward: -3150 | Episode: 1 | Qmax: 17.22497597398429 | Exploration: 0.19208 | Step: 145 | LR:0.0015
| Reward: -1640 | Episode: 2 | Qmax: 15.067213984503262 | Exploration: 0.1882384 | Step: 138 | LR:0.0015
| Reward: -740 | Episode: 3 | Qmax: 28.698883350078876 | Exploration: 0.184473632 | Step: 39 | LR:0.0015
| Reward: -480 | Episode: 4 | Qmax: 42.436833104779645 | Exploration: 0.18078415936 | Step: 31 | LR:0.0015
| Reward: -320 | Episode: 5 | Qmax: 49.481409939852625 | Exploration: 0.177168476173 | Step: 33 | LR:0.0015
| Reward: -1080 | Episode: 6 | Qmax: 61.374376662789956 | Exploration: 0.173625106649 | Step: 73 | LR:0.0015
| Reward: -680 | Episode: 7 | Qmax: 76.80716141410495 | Exploration: 0.170152604516 | Step: 69 | LR:0.0015
| Reward: -290 | Episode: 8 | Qmax: 73.75302098592122 | Exploration: 0.166749552426 | Step: 30 | LR:0.0015
| Reward: -950 | Episode: 9 | Qmax: 77.96280402698736 | Exploration: 0.163414561378 | Step: 87 | LR:0.0015
| Reward: -420 | Episode: 10 | Qmax: 89.07612845476936 | Exploration: 0.16014627015 | Step: 34 | LR:0.0015
| Reward: -330 | Episode: 11 | Qmax: 84.44980755974265 | Exploration: 0.156943344747 | Step: 34 | LR:0.0015
| Reward: -490 | Episode: 12 | Qmax: 89.12962313396174 | Exploration: 0.153804477852 | Step: 41 | LR:0.0015
| Reward: -970 | Episode: 13 | Qmax: 94.08618930567091 | Exploration: 0.150728388295 | Step: 107 | LR:0.0015
| Reward: -300 | Episode: 14 | Qmax: 91.97609870664535 | Exploration: 0.147713820529 | Step: 31 | LR:0.0015
| Reward: -1820 | Episode: 15 | Qmax: 93.88140026037244 | Exploration: 0.144759544118 | Step: 138 | LR:0.0015
| Reward: -1070 | Episode: 16 | Qmax: 94.1223996094983 | Exploration: 0.141864353236 | Step: 99 | LR:0.0015
| Reward: -4890 | Episode: 17 | Qmax: 98.01227879426918 | Exploration: 0.139027066171 | Step: 490 | LR:0.0015
| Reward: -1250 | Episode: 18 | Qmax: 96.57174025641547 | Exploration: 0.136246524848 | Step: 126 | LR:0.0015
| Reward: -3610 | Episode: 19 | Qmax: 94.51111827558566 | Exploration: 0.133521594351 | Step: 353 | LR:0.0015
| Reward: -1090 | Episode: 20 | Qmax: 97.69781910872258 | Exploration: 0.130851162464 | Step: 119 | LR:0.0015
| Reward: -1010 | Episode: 21 | Qmax: 94.19350722029402 | Exploration: 0.128234139215 | Step: 111 | LR:0.0015
| Reward: -3240 | Episode: 22 | Qmax: 95.27200508117676 | Exploration: 0.12566945643 | Step: 316 | LR:0.0015
| Reward: -5090 | Episode: 23 | Qmax: 92.39677594324391 | Exploration: 0.12566945643 | Step: 499 | LR:0.0015
| Reward: -5000 | Episode: 24 | Qmax: 90.9657664174785 | Exploration: 0.12566945643 | Step: 499 | LR:0.0015
| Reward: -2420 | Episode: 25 | Qmax: 89.02726139166417 | Exploration: 0.123156067302 | Step: 234 | LR:0.0015
| Reward: -5090 | Episode: 26 | Qmax: 84.75231549830619 | Exploration: 0.123156067302 | Step: 499 | LR:0.0015
| Reward: -5090 | Episode: 27 | Qmax: 82.94150246599155 | Exploration: 0.123156067302 | Step: 499 | LR:0.0015
| Reward: -3940 | Episode: 28 | Qmax: 80.76282710787616 | Exploration: 0.120692945956 | Step: 395 | LR:0.0015
| Reward: -5090 | Episode: 29 | Qmax: 77.52023998864428 | Exploration: 0.120692945956 | Step: 499 | LR:0.0015
| Reward: -5000 | Episode: 30 | Qmax: 76.2762389479276 | Exploration: 0.120692945956 | Step: 499 | LR:0.0015
| Reward: -5450 | Episode: 31 | Qmax: 74.05176358423634 | Exploration: 0.120692945956 | Step: 499 | LR:0.0015
| Reward: -2770 | Episode: 32 | Qmax: 72.03287487763625 | Exploration: 0.118279087037 | Step: 260 | LR:0.0015
| Reward: -4290 | Episode: 33 | Qmax: 73.46126963627803 | Exploration: 0.115913505296 | Step: 385 | LR:0.0015
| Reward: -2710 | Episode: 34 | Qmax: 74.05734912992462 | Exploration: 0.11359523519 | Step: 254 | LR:0.0015
| Reward: -600 | Episode: 35 | Qmax: 73.89216019766671 | Exploration: 0.111323330486 | Step: 70 | LR:0.0015
| Reward: -2470 | Episode: 36 | Qmax: 75.59635292015639 | Exploration: 0.109096863876 | Step: 203 | LR:0.0015
| Reward: -3930 | Episode: 37 | Qmax: 71.80615106114087 | Exploration: 0.106914926599 | Step: 403 | LR:0.0015
| Reward: -5270 | Episode: 38 | Qmax: 75.79558490034573 | Exploration: 0.106914926599 | Step: 499 | LR:0.0015
| Reward: -2730 | Episode: 39 | Qmax: 68.88766404997628 | Exploration: 0.104776628067 | Step: 265 | LR:0.0015
| Reward: -5360 | Episode: 40 | Qmax: 72.09911233580901 | Exploration: 0.104776628067 | Step: 499 | LR:0.0015
| Reward: -5270 | Episode: 41 | Qmax: 71.62659523434534 | Exploration: 0.104776628067 | Step: 499 | LR:0.0015
| Reward: -1350 | Episode: 42 | Qmax: 68.49402725449924 | Exploration: 0.102681095506 | Step: 145 | LR:0.0015
| Reward: -5630 | Episode: 43 | Qmax: 71.77935343025203 | Exploration: 0.102681095506 | Step: 499 | LR:0.0015
| Reward: -2880 | Episode: 44 | Qmax: 76.6552532210747 | Exploration: 0.100627473596 | Step: 262 | LR:0.0015
| Reward: -260 | Episode: 45 | Qmax: 68.21265182230208 | Exploration: 0.0986149241236 | Step: 36 | LR:0.0015
| Reward: -570 | Episode: 46 | Qmax: 67.01436082393893 | Exploration: 0.0966426256411 | Step: 31 | LR:0.0015
| Reward: -1290 | Episode: 47 | Qmax: 79.25895108420116 | Exploration: 0.0947097731283 | Step: 130 | LR:0.0015
| Reward: -240 | Episode: 48 | Qmax: 78.7602023255825 | Exploration: 0.0928155776658 | Step: 25 | LR:0.0015
| Reward: -1610 | Episode: 49 | Qmax: 73.35602848346417 | Exploration: 0.0909592661124 | Step: 117 | LR:0.0015
| Reward: -480 | Episode: 50 | Qmax: 81.65489327907562 | Exploration: 0.0891400807902 | Step: 40 | LR:0.0015
| Reward: -230 | Episode: 51 | Qmax: 79.03848320065123 | Exploration: 0.0873572791744 | Step: 33 | LR:0.0015
| Reward: -4580 | Episode: 52 | Qmax: 76.01300355512419 | Exploration: 0.0856101335909 | Step: 405 | LR:0.0015
| Reward: -2780 | Episode: 53 | Qmax: 74.55822948998178 | Exploration: 0.0838979309191 | Step: 171 | LR:0.0015
| Reward: -1050 | Episode: 54 | Qmax: 72.43988397453404 | Exploration: 0.0822199723007 | Step: 79 | LR:0.0015
| Reward: -820 | Episode: 55 | Qmax: 80.97919935074502 | Exploration: 0.0805755728547 | Step: 56 | LR:0.0015
| Reward: -710 | Episode: 56 | Qmax: 82.09802644517687 | Exploration: 0.0789640613976 | Step: 45 | LR:0.0015
| Reward: -460 | Episode: 57 | Qmax: 72.18895523462977 | Exploration: 0.0773847801696 | Step: 56 | LR:0.0015
| Reward: -690 | Episode: 58 | Qmax: 71.74162287399417 | Exploration: 0.0758370845662 | Step: 61 | LR:0.0015
| Reward: -630 | Episode: 59 | Qmax: 84.25251019519308 | Exploration: 0.0743203428749 | Step: 46 | LR:0.0015
| Reward: -1780 | Episode: 60 | Qmax: 75.68132293381188 | Exploration: 0.0728339360174 | Step: 152 | LR:0.0015
| Reward: -410 | Episode: 61 | Qmax: 76.47408010846092 | Exploration: 0.0713772572971 | Step: 42 | LR:0.0015
