 | Episode: 0 | Train: 0 | Gym: 12.993168354 | Batch: 0.00293493270874 | Guide: 12.7742338181
 | Episode: 1 | Train: 0.616616249084 | Gym: 33.5857977867 | Batch: 0.356568098068 | Guide: 33.4338440895
 | Episode: 2 | Train: 0.643926858902 | Gym: 33.5931046009 | Batch: 0.39827132225 | Guide: 33.3732419014
 | Episode: 3 | Train: 0.159421682358 | Gym: 12.3149757385 | Batch: 0.100916385651 | Guide: 12.2696728706
 | Episode: 4 | Train: 0.111900806427 | Gym: 7.83339834213 | Batch: 0.0736248493195 | Guide: 7.80491614342
 | Episode: 5 | Train: 0.119461536407 | Gym: 11.2988564968 | Batch: 0.0809562206268 | Guide: 11.2751004696
 | Episode: 6 | Train: 0.27577662468 | Gym: 20.020462513 | Batch: 0.173953771591 | Guide: 19.9401772022
 | Episode: 7 | Train: 0.313064336777 | Gym: 16.614376545 | Batch: 0.201543569565 | Guide: 16.5049452782
 | Episode: 8 | Train: 0.159385919571 | Gym: 12.3610603809 | Batch: 0.0910766124725 | Guide: 12.3124885559
 | Episode: 9 | Train: 0.404391765594 | Gym: 17.5346868038 | Batch: 0.249839305878 | Guide: 17.368635416
 | Episode: 10 | Train: 0.16193985939 | Gym: 12.5797092915 | Batch: 0.10607624054 | Guide: 12.5303695202
 | Episode: 11 | Train: 0.163594245911 | Gym: 10.1566705704 | Batch: 0.0992653369904 | Guide: 10.1045434475
 | Episode: 12 | Train: 0.193947792053 | Gym: 7.75231361389 | Batch: 0.114856719971 | Guide: 7.68252658844
 | Episode: 13 | Train: 0.489628553391 | Gym: 30.4809527397 | Batch: 0.298162937164 | Guide: 30.2862951756
 | Episode: 14 | Train: 0.147971391678 | Gym: 10.7711102962 | Batch: 0.0929462909698 | Guide: 10.718998909
 | Episode: 15 | Train: 0.637070178986 | Gym: 38.3858349323 | Batch: 0.398769855499 | Guide: 38.1559336185
 | Episode: 16 | Train: 0.448059797287 | Gym: 26.7409045696 | Batch: 0.280800819397 | Guide: 26.5884780884
 | Episode: 17 | Train: 2.22047138214 | Gym: 110.492035151 | Batch: 1.34848332405 | Guide: 109.566487312
 | Episode: 18 | Train: 0.561543226242 | Gym: 35.3396515846 | Batch: 0.356356859207 | Guide: 35.1275873184
 | Episode: 19 | Train: 1.53408789635 | Gym: 72.5646286011 | Batch: 0.934441566467 | Guide: 71.8963050842
 | Episode: 20 | Train: 0.568766593933 | Gym: 26.46058321 | Batch: 0.311000108719 | Guide: 26.2525107861
 | Episode: 21 | Train: 0.454947471619 | Gym: 23.3932988644 | Batch: 0.291095733643 | Guide: 23.1826775074
 | Episode: 22 | Train: 1.3102478981 | Gym: 66.9139208794 | Batch: 0.822785615921 | Guide: 66.3145222664
 | Episode: 23 | Train: 2.03036665916 | Gym: 88.7154853344 | Batch: 1.28464579582 | Guide: 87.678286314
 | Episode: 24 | Train: 2.0667719841 | Gym: 99.345574379 | Batch: 1.30197572708 | Guide: 98.3475372791
 | Episode: 25 | Train: 0.95131611824 | Gym: 48.2101538181 | Batch: 0.621181249619 | Guide: 47.7564251423
 | Episode: 26 | Train: 1.72790288925 | Gym: 79.6223695278 | Batch: 1.07378482819 | Guide: 78.8826329708
 | Episode: 27 | Train: 1.71038174629 | Gym: 82.6698379517 | Batch: 1.06473088264 | Guide: 81.9641165733
 | Episode: 28 | Train: 1.34824180603 | Gym: 66.9087874889 | Batch: 0.847564697266 | Guide: 66.3788182735
 | Episode: 29 | Train: 1.70264959335 | Gym: 58.6057732105 | Batch: 1.04389739037 | Guide: 57.805267334
 | Episode: 30 | Train: 1.69953322411 | Gym: 69.6227104664 | Batch: 1.05001282692 | Guide: 68.8839833736
 | Episode: 31 | Train: 1.69208073616 | Gym: 60.1108505726 | Batch: 1.03632807732 | Guide: 59.3274812698
