| Reward: -1030 | Episode: 0 | Qmax: 0.0 | Exploration: 0.294 | Step: 50 | LR:0.0015
| Reward: -100 | Episode: 1 | Qmax: 0.0 | Exploration: 0.28812 | Step: 11 | LR:0.00147
| Reward: -270 | Episode: 2 | Qmax: 10.322777557373048 | Exploration: 0.2823576 | Step: 10 | LR:0.00147
| Reward: -400 | Episode: 3 | Qmax: 13.767671792403512 | Exploration: 0.276710448 | Step: 23 | LR:0.00147
| Reward: -250 | Episode: 4 | Qmax: 18.79403793110567 | Exploration: 0.27117623904 | Step: 17 | LR:0.00147
| Reward: -470 | Episode: 5 | Qmax: 16.240552765982493 | Exploration: 0.265752714259 | Step: 21 | LR:0.00147
| Reward: -790 | Episode: 6 | Qmax: 15.385478741782052 | Exploration: 0.260437659974 | Step: 35 | LR:0.00147
| Reward: -840 | Episode: 7 | Qmax: 10.858306299556386 | Exploration: 0.255228906775 | Step: 22 | LR:0.00147
| Reward: -360 | Episode: 8 | Qmax: 8.80523661563271 | Exploration: 0.250124328639 | Step: 19 | LR:0.00147
| Reward: -2260 | Episode: 9 | Qmax: 59.122219186297734 | Exploration: 0.245121842066 | Step: 173 | LR:0.00147
| Reward: -390 | Episode: 10 | Qmax: 80.64762743057743 | Exploration: 0.240219405225 | Step: 31 | LR:0.00147
| Reward: -390 | Episode: 11 | Qmax: 84.48560380935669 | Exploration: 0.23541501712 | Step: 40 | LR:0.00147
| Reward: -140 | Episode: 12 | Qmax: 84.41744589805603 | Exploration: 0.230706716778 | Step: 24 | LR:0.0014406
| Reward: -800 | Episode: 13 | Qmax: 83.98080492776538 | Exploration: 0.226092582442 | Step: 63 | LR:0.0014406
| Reward: -370 | Episode: 14 | Qmax: 86.72518121435287 | Exploration: 0.221570730794 | Step: 47 | LR:0.0014406
| Reward: -280 | Episode: 15 | Qmax: 95.76709215264572 | Exploration: 0.217139316178 | Step: 38 | LR:0.0014406
| Reward: -230 | Episode: 16 | Qmax: 94.1801990667979 | Exploration: 0.212796529854 | Step: 24 | LR:0.0014406
| Reward: -470 | Episode: 17 | Qmax: 89.47663248502292 | Exploration: 0.208540599257 | Step: 39 | LR:0.0014406
| Reward: -150 | Episode: 18 | Qmax: 86.1378971862793 | Exploration: 0.204369787272 | Step: 25 | LR:0.0014117882
| Reward: -490 | Episode: 19 | Qmax: 92.37332156553107 | Exploration: 0.200282391527 | Step: 59 | LR:0.0014117882
| Reward: -240 | Episode: 20 | Qmax: 88.34193016501034 | Exploration: 0.196276743696 | Step: 34 | LR:0.0014117882
| Reward: -560 | Episode: 21 | Qmax: 89.07829003585012 | Exploration: 0.192351208822 | Step: 57 | LR:0.0014117882
| Reward: -200 | Episode: 22 | Qmax: 96.77646547953287 | Exploration: 0.188504184646 | Step: 30 | LR:0.0014117882
| Reward: -100 | Episode: 23 | Qmax: 93.52386875152588 | Exploration: 0.184734100953 | Step: 20 | LR:0.0013835524
| Reward: -320 | Episode: 24 | Qmax: 96.65492838904972 | Exploration: 0.181039418934 | Step: 42 | LR:0.0013835524
| Reward: -160 | Episode: 25 | Qmax: 102.43353630514706 | Exploration: 0.177418630555 | Step: 17 | LR:0.0013558815
| Reward: -270 | Episode: 26 | Qmax: 93.6589206968035 | Exploration: 0.173870257944 | Step: 28 | LR:0.0013558815
| Reward: -140 | Episode: 27 | Qmax: 109.73361765543619 | Exploration: 0.170392852785 | Step: 15 | LR:0.0013287639
| Reward: -360 | Episode: 28 | Qmax: 99.37236513410296 | Exploration: 0.166984995729 | Step: 28 | LR:0.0013287639
| Reward: -120 | Episode: 29 | Qmax: 103.57988680326022 | Exploration: 0.163645295815 | Step: 13 | LR:0.0013021886
| Reward: -540 | Episode: 30 | Qmax: 103.97602363254713 | Exploration: 0.160372389898 | Step: 46 | LR:0.0013021886
| Reward: -190 | Episode: 31 | Qmax: 102.75047435760499 | Exploration: 0.1571649421 | Step: 20 | LR:0.0012761449
| Reward: -350 | Episode: 32 | Qmax: 92.29467476738824 | Exploration: 0.154021643258 | Step: 18 | LR:0.0012761449
| Reward: -2250 | Episode: 33 | Qmax: 99.25108232023966 | Exploration: 0.150941210393 | Step: 181 | LR:0.0012761449
| Reward: -1020 | Episode: 34 | Qmax: 97.83966345536082 | Exploration: 0.147922386185 | Step: 76 | LR:0.0012761449
| Reward: -210 | Episode: 35 | Qmax: 101.19189366427335 | Exploration: 0.144963938462 | Step: 22 | LR:0.0012761449
| Reward: -880 | Episode: 36 | Qmax: 100.10632672309876 | Exploration: 0.142064659692 | Step: 80 | LR:0.0012761449
| Reward: -2210 | Episode: 37 | Qmax: 96.69388755162556 | Exploration: 0.139223366499 | Step: 168 | LR:0.0012761449
| Reward: -180 | Episode: 38 | Qmax: 102.40815554167095 | Exploration: 0.136438899169 | Step: 19 | LR:0.0012506221
| Reward: -1390 | Episode: 39 | Qmax: 96.74946821112381 | Exploration: 0.133710121185 | Step: 95 | LR:0.0012506221
| Reward: -630 | Episode: 40 | Qmax: 100.36319483881411 | Exploration: 0.131035918762 | Step: 46 | LR:0.0012506221
| Reward: -2360 | Episode: 41 | Qmax: 98.24309250337994 | Exploration: 0.131035918762 | Step: 199 | LR:0.0012506221
| Reward: -980 | Episode: 42 | Qmax: 100.07025027804904 | Exploration: 0.128415200386 | Step: 90 | LR:0.0012506221
| Reward: -2030 | Episode: 43 | Qmax: 99.81965480986095 | Exploration: 0.125846896379 | Step: 105 | LR:0.0012506221
| Reward: -1020 | Episode: 44 | Qmax: 100.45347942523102 | Exploration: 0.123329958451 | Step: 67 | LR:0.0012506221
| Reward: -600 | Episode: 45 | Qmax: 100.56414809593788 | Exploration: 0.120863359282 | Step: 52 | LR:0.0012506221
| Reward: -2280 | Episode: 46 | Qmax: 96.13553977136168 | Exploration: 0.118446092096 | Step: 193 | LR:0.0012506221
| Reward: -1170 | Episode: 47 | Qmax: 96.58497301101684 | Exploration: 0.116077170254 | Step: 100 | LR:0.0012506221
| Reward: -2130 | Episode: 48 | Qmax: 98.76060436548812 | Exploration: 0.113755626849 | Step: 178 | LR:0.0012506221
| Reward: -800 | Episode: 49 | Qmax: 101.08426866077241 | Exploration: 0.111480514312 | Step: 63 | LR:0.0012506221
| Reward: -1490 | Episode: 50 | Qmax: 98.00152506972805 | Exploration: 0.109250904026 | Step: 132 | LR:0.0012506221
